DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-06-16 18:45:00,336.2,118.872,14.7,16.5,0.0,802.0
2025-06-10 17:30:00,384.3,,16.9,13.6,0.0,416.0
2025-06-16 12:30:00,335.5,121.92000000000002,14.7,9.6,0.0,0.0
2025-06-16 15:15:00,333.2,124.968,14.4,12.0,0.0,176.0
2025-06-10 09:30:00,380.6,,16.5,10.8,0.0,0.0
2025-06-13 09:00:00,365.1,121.92000000000002,14.7,10.2,0.0,0.0
2025-06-15 02:00:00,375.6,118.872,16.0,14.9,0.0,320.0
2025-06-13 01:30:00,379.0,121.92000000000002,16.1,14.9,0.0,510.0
2025-06-14 03:45:00,372.5,118.872,15.6,12.9,0.0,125.0
2025-06-11 00:15:00,371.2,,15.7,14.4,0.0,624.0
2025-06-10 07:00:00,375.5,,16.0,11.1,0.0,0.0
2025-06-16 14:15:00,332.7,128.016,14.4,10.8,0.0,49.0
2025-06-16 22:15:00,348.7,115.824,16.2,19.5,0.0,955.0
2025-06-12 21:30:00,363.0,,15.6,19.7,0.0,998.0
2025-06-13 21:30:00,373.2,121.92000000000002,15.6,18.5,0.0,1000.0
2025-06-16 23:00:00,349.5,115.824,16.3,19.7,0.0,855.0
2025-06-15 18:15:00,344.9,121.92000000000002,15.0,17.9,0.0,807.0
2025-06-10 17:45:00,383.9,,16.9,13.6,0.0,416.0
2025-06-12 20:00:00,365.0,,15.8,19.2,0.0,988.0
2025-06-14 10:45:00,360.4,121.92000000000002,14.4,9.9,0.0,0.0
2025-06-15 10:15:00,350.2,128.016,14.4,10.4,0.0,0.0
2025-06-14 22:00:00,374.2,121.92000000000002,15.8,18.1,0.0,889.0
2025-06-16 16:30:00,333.0,124.968,14.4,13.7,0.0,411.0
2025-06-15 06:00:00,362.7,118.872,15.1,11.1,0.0,0.0
2025-06-15 01:00:00,377.2,115.824,16.2,16.9,0.0,519.0
2025-06-16 20:00:00,341.1,118.872,15.3,18.4,0.0,989.0
2025-06-14 20:00:00,368.5,121.92000000000002,15.2,17.1,0.0,823.0
2025-06-16 09:45:00,336.2,121.92000000000002,14.8,10.3,0.0,0.0
2025-06-13 00:00:00,363.5,,15.7,17.8,0.0,695.0
2025-06-14 07:00:00,365.2,121.92000000000002,14.9,11.0,0.0,0.0
2025-06-13 17:30:00,361.7,124.968,14.4,14.7,0.0,588.0
2025-06-11 02:00:00,372.6,,15.8,12.0,0.0,248.0
2025-06-15 10:45:00,350.5,124.968,14.6,10.4,0.0,0.0
2025-06-10 22:30:00,371.7,,15.7,15.8,0.0,875.0
2025-06-14 17:45:00,360.5,121.92000000000002,14.4,15.2,0.0,634.0
2025-06-14 23:30:00,378.1,115.824,16.2,17.7,0.0,851.0
2025-06-15 16:30:00,342.3,124.968,14.5,14.3,0.0,428.0
2025-06-11 00:45:00,371.4,,15.7,14.4,0.0,624.0
2025-06-15 14:30:00,343.4,124.968,14.3,10.7,0.0,67.0
2025-06-11 10:30:00,376.5,,16.3,9.7,0.0,0.0
2025-06-16 14:30:00,333.2,124.968,14.4,10.8,0.0,49.0
2025-06-14 18:00:00,361.5,121.92000000000002,14.5,16.3,0.0,770.0
2025-06-13 16:15:00,361.0,121.92000000000002,14.3,13.0,0.0,338.0
2025-06-15 13:30:00,345.4,121.92000000000002,14.4,9.9,0.0,1.0
2025-06-10 18:00:00,383.1,,16.8,15.0,0.0,618.0
2025-06-12 21:45:00,362.4,,15.6,19.7,0.0,998.0
2025-06-11 15:45:00,381.4,,17.0,10.7,0.0,126.0
2025-06-13 16:45:00,360.1,128.016,14.2,13.0,0.0,338.0
2025-06-10 13:30:00,385.9,,17.1,10.9,0.0,0.0
2025-06-11 02:45:00,372.9,,15.8,12.0,0.0,248.0
2025-06-10 10:45:00,382.1,,16.6,10.8,0.0,0.0
2025-06-13 03:45:00,373.8,121.92000000000002,15.6,12.5,0.0,123.0
2025-06-16 10:30:00,335.2,121.92000000000002,14.7,10.0,0.0,0.0
2025-06-10 11:30:00,384.1,,16.9,10.6,0.0,0.0
2025-06-13 14:15:00,361.9,121.92000000000002,14.4,10.6,0.0,46.0
2025-06-13 03:00:00,374.8,121.92000000000002,15.7,12.5,0.0,123.0
2025-06-15 14:15:00,344.3,121.92000000000002,14.4,10.7,0.0,67.0
2025-06-11 21:15:00,366.8,,15.7,16.1,0.0,992.0
2025-06-16 11:15:00,334.6,124.968,14.6,9.7,0.0,0.0
2025-06-15 17:30:00,343.4,121.92000000000002,14.7,16.3,0.0,643.0
2025-06-15 19:30:00,347.9,118.872,15.6,19.2,0.0,929.0
2025-06-12 20:15:00,363.6,,15.6,19.2,0.0,988.0
