uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
be6b44b6-5b58-47a8-98d7-3aa526a69df8,south_fork_0,2025-06-10 07:00:27,683.0,174.7,16.2,,,
aee7b9c0-a6e0-429a-bcd3-2465b0db74cb,south_fork_0,2025-06-10 07:15:27,689.0,175.0,16.1,,,
ea522a6f-620e-4e4c-83c5-62ecb27cf4da,south_fork_0,2025-06-10 07:30:28,700.0,174.5,16.1,,,
6e139fa2-f29f-418a-b822-2e4a1afdce14,south_fork_0,2025-06-10 07:45:27,724.3,173.0,16.1,,,
5f9c86ad-760c-43ac-a7a9-e045684755e6,south_fork_0,2025-06-10 08:00:27,726.2,174.2,16.0,,,
c9a3fe44-9b13-4a7e-86a3-858630dda508,south_fork_0,2025-06-10 08:15:28,724.7,173.8,16.0,,,
59d25946-376d-4794-847c-b762f92355fd,south_fork_0,2025-06-10 08:30:28,717.2,174.2,16.0,,,
a5f8d182-a2dc-47dd-b10d-67a989091ba7,south_fork_0,2025-06-10 08:45:28,723.8,173.7,16.0,,,
4a484038-7b7c-44f2-8578-00bc26e23d1f,south_fork_0,2025-06-10 09:00:28,728.0,172.7,16.0,,,
56f5223f-f3b9-4818-8f6d-552d105a32c5,south_fork_0,2025-06-10 09:15:27,730.2,173.0,16.0,,,
be0f4e6b-2abd-42ed-9c1e-6cebe4a78aa7,south_fork_0,2025-06-10 09:30:28,723.8,185.0,16.0,,,
99fecc5d-1fb3-4c46-862d-825e6305ce3e,south_fork_0,2025-06-10 09:45:28,676.7,175.7,16.6,,,
2e493368-16c7-4fe0-971e-c79f5107dee1,south_fork_0,2025-06-10 10:00:27,698.2,176.8,16.8,,,
1420870e-0822-40ee-8400-f8b7af562a71,south_fork_0,2025-06-10 10:15:28,706.5,175.2,16.5,,,
c7f85a1d-54fb-4aea-bfa4-bc6bde7e4a4f,south_fork_0,2025-06-10 10:30:27,726.5,175.0,16.3,,,
a0f64d4e-f278-4787-ace1-fea28afc90b6,south_fork_0,2025-06-10 10:45:27,733.0,174.0,16.2,,,
3c0ebe3e-9088-4b32-be82-93e51b576882,south_fork_0,2025-06-10 11:00:28,731.8,173.7,16.1,,,
94e9a679-3d45-45e8-a0df-628a3df0c864,south_fork_0,2025-06-10 11:15:27,734.0,177.8,16.1,,,
865047f5-9a23-4dfd-a751-bdfdccfedea1,south_fork_0,2025-06-10 11:30:28,676.3,176.3,16.1,,,
9f2819d6-a2f5-4b2c-8690-ab8e6ef729a1,south_fork_0,2025-06-10 11:45:27,707.2,174.3,16.2,,,
1f73f189-091a-424c-8788-c9ce058ed7af,south_fork_0,2025-06-10 12:00:27,726.8,173.7,16.1,,,
