uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
56e274c0-53f0-4eca-9ad2-591d7391d9cc,north_fork_0,2025-08-02 03:00:00,537.5,198.5,17.0,
974a3c48-2a59-4d7c-996c-ec62075478cc,north_fork_0,2025-08-02 03:15:00,538.8,198.2,16.93,
427a0771-613d-4b08-9dd1-3614620eb5b0,north_fork_0,2025-08-02 03:30:00,537.5,199.3,16.9,
4dcf5e49-ff01-4b46-b8a0-c311ed84f0fa,north_fork_0,2025-08-02 03:45:00,537.0,199.2,16.9,
c4615612-d9ac-41ce-a463-a177268c3078,north_fork_0,2025-08-02 04:00:00,538.3,199.5,16.82,
4d1dfb55-5154-4b00-ba29-22eb481a9931,north_fork_0,2025-08-02 04:15:00,539.2,198.5,16.8,
7f900450-3a2c-4f27-82f5-39029cacc686,north_fork_0,2025-08-02 04:30:00,538.8,198.7,16.8,
6f7a74d3-8764-4d1a-81e6-4c901e7b5d6c,north_fork_0,2025-08-02 04:45:00,538.8,198.2,16.72,
f9db86ce-af9d-404e-8de2-f792b112fec8,north_fork_0,2025-08-02 05:00:00,522.3,198.8,16.7,
9c822674-0203-4401-b929-8877fe909331,north_fork_0,2025-08-02 05:15:00,509.0,199.2,16.7,
b4bd625a-a1cc-4e90-a0ea-4ecdef792f70,north_fork_0,2025-08-02 05:30:00,509.8,198.5,16.62,
14ad0fdc-af0a-431f-87ef-bcad905dd968,north_fork_0,2025-08-02 05:45:00,509.5,197.7,16.6,
045d9afa-3cc3-4f0b-9443-a502015d3de6,north_fork_0,2025-08-02 06:00:00,509.5,199.3,16.6,
13e2bbcb-929e-4930-9f67-ef04057f8ad2,north_fork_0,2025-08-02 06:15:00,508.8,197.8,16.6,
c13ee6a4-002e-4a8f-be52-5cc1a2eaee15,north_fork_0,2025-08-02 06:30:00,512.2,198.8,16.5,
83446a38-6e25-4803-80e3-2a22dccfcf3d,north_fork_0,2025-08-02 06:45:00,509.3,199.8,16.5,
96fb6af0-83af-42be-8077-88c14b072788,north_fork_0,2025-08-02 07:00:00,512.2,199.7,16.5,
6ab48873-be62-48b9-b55c-8fc4cb03d5d1,north_fork_0,2025-08-02 07:15:00,513.0,198.2,16.5,
934cc91a-4890-4efb-90e4-309889fb9b60,north_fork_0,2025-08-02 07:30:00,512.8,198.5,16.4,
7c5ff7a8-a0ba-4b36-b5a0-54e0351736d0,north_fork_0,2025-08-02 07:45:00,513.0,197.7,16.4,
9f96658f-e742-498b-a8c3-f2c960617720,north_fork_0,2025-08-02 08:00:00,515.0,197.5,16.4,
36b01cb9-cdcd-4382-84ec-c6f764a2efbe,north_fork_0,2025-08-02 08:15:00,514.3,198.0,16.32,
4d806593-93b8-4d57-b6b1-28d2cff4b41b,north_fork_0,2025-08-02 08:30:00,514.0,197.0,16.3,
a0c4487b-2b24-4ccc-b7c6-132da9397293,north_fork_0,2025-08-02 08:45:00,513.0,197.5,16.3,
d76a9244-eaed-4aff-94b5-a54c8ea929b3,north_fork_0,2025-08-02 09:00:00,516.0,199.5,16.3,
c91bd87c-dd82-45fe-8510-d2d9987e7a2c,north_fork_0,2025-08-02 09:15:00,516.5,200.7,16.2,
57c98f46-b433-4ea7-9179-a6dbc7e8207e,north_fork_0,2025-08-02 09:30:00,516.7,199.2,16.2,
ad7c762b-df9a-434e-856b-926602fd6a4c,north_fork_0,2025-08-02 09:45:00,517.3,197.2,16.2,
4a82c89e-8995-425e-b809-b0b23184d5e4,north_fork_0,2025-08-02 10:00:00,517.0,198.0,16.13,
96542949-bdb4-4800-94eb-4683c8cb63a1,north_fork_0,2025-08-02 10:15:00,518.0,197.8,16.1,
5c97e96f-9d4a-49a7-b04c-6c81f68aa6e0,north_fork_0,2025-08-02 10:30:00,517.0,197.8,16.1,
275ae15c-6b17-4b18-9b80-aa94199d20dc,north_fork_0,2025-08-02 10:45:00,518.0,198.3,16.1,
3d6c8f56-e7bf-4a85-b2e3-72fd9c0e4f74,north_fork_0,2025-08-02 11:00:00,515.2,197.2,16.1,
d17f9ef4-a69d-4555-983d-523c4ec0ca60,north_fork_0,2025-08-02 11:15:00,516.0,198.2,16.02,
833399a8-d576-462f-9d40-f398e234595d,north_fork_0,2025-08-02 11:30:00,512.0,198.8,16.0,
1f1fd012-966d-4f66-a0ec-7fb26752664f,north_fork_0,2025-08-02 11:45:00,510.5,197.8,16.0,
2548ffd2-dc65-480e-8a30-723c9d89538b,north_fork_0,2025-08-02 12:00:00,508.7,198.2,16.0,
db694f93-ac41-4893-b7a7-f0e1c9461aae,north_fork_0,2025-08-02 12:15:00,510.2,198.0,15.93,
1dbeebe2-3f12-43ae-b2fd-61c1d6e4a26b,north_fork_0,2025-08-02 12:30:00,511.3,197.7,15.9,
f7bb2f11-4035-4452-9c1b-60b4fc501214,north_fork_0,2025-08-02 12:45:00,512.3,198.3,15.9,
23537c7c-c849-4903-833d-fdd7334e21b6,north_fork_0,2025-08-02 13:00:00,511.5,198.8,15.9,
fcfd0100-a191-40f6-8c28-eb9e9b1ecbe9,north_fork_0,2025-08-02 13:15:00,515.3,197.2,15.9,
fcf8ab97-404d-4a5c-99fc-852d0888fea5,north_fork_0,2025-08-02 13:30:00,515.5,197.5,15.8,
a0066805-e64d-47d1-b2d8-726a391b83c5,north_fork_0,2025-08-02 13:45:00,516.3,196.7,15.8,
a00327ce-3dfe-4928-b061-d2e353167260,north_fork_0,2025-08-02 14:00:00,515.2,197.3,15.8,
a34eda21-a48b-4b98-9623-70692190c51e,north_fork_0,2025-08-02 14:15:00,516.7,197.5,15.8,
f3f68759-9ee6-491f-9f2e-d3383058c80a,north_fork_0,2025-08-02 14:30:00,515.8,197.5,15.8,
241d3127-da5d-4e49-b6e0-9467a1a77d7b,north_fork_0,2025-08-02 14:45:00,517.7,198.0,15.72,
e507f8be-c9e5-493d-a085-79db4b5a8caa,north_fork_0,2025-08-02 15:00:00,518.8,198.7,15.7,
b32f0ea3-45b7-45e1-acb8-109dbb02a325,north_fork_0,2025-08-02 15:15:00,518.7,198.3,15.7,
473e512f-7f93-4efd-8f48-ca832edb8c24,north_fork_0,2025-08-02 15:30:00,520.0,197.8,15.7,
bf582faa-dfe8-49b6-8608-2a54c76c3fb7,north_fork_0,2025-08-02 15:45:00,520.8,198.5,15.7,
f5467194-5b05-4a4f-80b1-d684c0349e67,north_fork_0,2025-08-02 16:00:00,520.5,199.3,15.7,
f04e49de-ca2b-4fd7-aec5-90653153dec0,north_fork_0,2025-08-02 16:15:00,521.3,198.0,15.7,
ddedffe7-674e-435e-9fc3-b84f9121d9d4,north_fork_0,2025-08-02 16:30:00,520.8,199.0,15.7,
1f3575a8-a3a6-4b84-8b34-2dbfaf8dedd1,north_fork_0,2025-08-02 16:45:00,520.8,198.8,15.7,
2f38138f-6fee-44b6-a3bc-263cedb156a1,north_fork_0,2025-08-02 17:00:00,522.2,198.5,15.7,
5a4f5624-141b-4aee-963d-9ea6557c44e0,north_fork_0,2025-08-02 17:15:00,521.3,197.5,15.7,
8db667f1-8a2c-4734-9d38-3dc4dc166576,north_fork_0,2025-08-02 17:30:00,522.3,197.5,15.7,
