DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-08-02 17:15:00,316.5,115.824,14.9,15.8,0.0,445.0
2025-08-03 16:45:00,316.8,115.824,15.0,15.5,0.0,374.0
2025-08-02 18:30:00,320.0,112.776,15.4,17.9,0.0,682.0
2025-08-02 04:30:00,326.3,109.728,16.1,13.9,0.0,2.0
2025-08-02 14:30:00,316.0,112.776,14.9,12.1,0.0,15.0
2025-08-04 05:30:00,324.7,115.824,15.9,13.5,0.0,0.0
2025-08-03 21:30:00,328.4,106.68,16.3,21.7,0.0,967.0
2025-08-02 08:00:00,321.3,115.824,15.5,13.4,0.0,0.0
2025-08-02 17:00:00,316.2,115.824,14.9,15.8,0.0,445.0
2025-08-02 15:30:00,315.8,118.872,14.8,12.8,0.0,106.0
2025-08-03 12:00:00,317.5,112.776,15.1,12.1,0.0,0.0
2025-08-04 02:30:00,328.5,106.68,16.4,17.5,0.0,276.0
2025-08-04 05:00:00,324.6,115.824,15.9,13.5,0.0,0.0
2025-08-02 22:00:00,328.3,109.728,16.4,19.9,0.0,908.0
2025-08-03 07:00:00,322.4,109.728,15.6,13.4,0.0,0.0
2025-08-03 00:45:00,331.0,106.68,16.7,19.1,0.0,666.0
2025-08-02 04:15:00,327.0,109.728,16.1,13.9,0.0,2.0
2025-08-03 09:00:00,320.0,115.824,15.4,12.9,0.0,0.0
2025-08-02 23:00:00,329.8,109.728,16.6,19.8,0.0,812.0
2025-08-04 02:00:00,329.8,106.68,16.5,17.5,0.0,276.0
2025-08-03 17:30:00,318.5,109.728,15.1,17.3,0.0,574.0
2025-08-03 08:45:00,320.3,115.824,15.4,13.2,0.0,0.0
2025-08-03 07:15:00,322.1,109.728,15.6,13.4,0.0,0.0
2025-08-03 23:45:00,331.6,109.728,16.8,24.3,0.0,819.0
2025-08-03 02:45:00,328.6,106.68,16.4,15.9,0.0,272.0
2025-08-02 07:30:00,321.4,118.872,15.5,13.8,0.0,0.0
2025-08-03 03:00:00,327.9,109.728,16.3,14.2,0.0,89.0
2025-08-03 23:00:00,331.0,106.68,16.7,24.3,0.0,819.0
2025-08-02 11:45:00,318.1,118.872,15.1,12.3,0.0,0.0
2025-08-02 03:30:00,328.5,109.728,16.3,14.2,0.0,89.0
2025-08-02 23:45:00,330.6,112.776,16.7,19.8,0.0,812.0
2025-08-02 10:15:00,319.5,112.776,15.3,12.5,0.0,0.0
2025-08-04 06:15:00,324.3,109.728,15.9,13.0,0.0,0.0
2025-08-03 17:15:00,317.9,109.728,15.1,17.3,0.0,574.0
2025-08-04 05:15:00,324.7,115.824,15.9,13.5,0.0,0.0
2025-08-02 06:30:00,323.4,112.776,15.7,13.9,0.0,0.0
2025-08-02 12:30:00,317.7,115.824,15.1,12.2,0.0,0.0
2025-08-03 04:00:00,326.0,115.824,16.1,13.7,0.0,1.0
2025-08-02 03:15:00,329.2,109.728,16.4,14.2,0.0,89.0
2025-08-03 22:00:00,329.6,109.728,16.5,23.3,0.0,921.0
2025-08-03 05:30:00,324.5,109.728,15.9,13.7,0.0,0.0
2025-08-02 19:15:00,322.8,115.824,15.7,18.9,0.0,809.0
2025-08-02 22:45:00,329.2,112.776,16.5,19.9,0.0,908.0
2025-08-03 21:15:00,328.0,106.68,16.3,21.7,0.0,967.0
2025-08-02 08:45:00,321.0,112.776,15.5,13.4,0.0,0.0
2025-08-04 04:30:00,324.7,115.824,15.9,14.0,0.0,1.0
2025-08-03 10:15:00,319.2,109.728,15.3,12.5,0.0,0.0
2025-08-04 05:45:00,324.6,115.824,15.9,13.5,0.0,0.0
2025-08-03 01:45:00,330.1,109.728,16.6,18.5,0.0,479.0
2025-08-03 05:15:00,324.7,109.728,15.9,13.7,0.0,0.0
2025-08-03 06:15:00,323.1,109.728,15.7,13.6,0.0,0.0
2025-08-02 09:30:00,320.2,112.776,15.4,12.9,0.0,0.0
2025-08-03 06:45:00,322.5,109.728,15.7,13.6,0.0,0.0
2025-08-03 15:15:00,316.5,109.728,14.9,13.6,0.0,171.0
2025-08-03 01:15:00,330.6,109.728,16.6,18.5,0.0,479.0
2025-08-03 20:45:00,327.1,106.68,16.2,21.0,0.0,952.0
2025-08-02 11:30:00,318.4,112.776,15.1,12.3,0.0,0.0
2025-08-04 01:30:00,331.0,106.68,16.7,19.0,0.0,479.0
2025-08-04 01:45:00,330.5,106.68,16.6,19.0,0.0,479.0
2025-08-03 00:15:00,331.0,109.728,16.7,19.1,0.0,666.0
2025-08-02 12:15:00,317.7,115.824,15.1,12.2,0.0,0.0
2025-08-02 06:15:00,323.9,109.728,15.8,13.9,0.0,0.0
2025-08-03 02:00:00,329.9,106.68,16.5,15.9,0.0,272.0
2025-08-02 13:30:00,317.2,112.776,15.0,11.9,0.0,0.0
2025-08-02 22:15:00,328.7,109.728,16.4,19.9,0.0,908.0
2025-08-02 09:15:00,320.7,112.776,15.4,12.9,0.0,0.0
2025-08-04 04:00:00,325.5,106.68,16.0,14.0,0.0,1.0
2025-08-04 00:15:00,332.1,103.632,16.8,22.7,0.0,668.0
2025-08-02 04:00:00,327.3,109.728,16.2,13.9,0.0,2.0
2025-08-03 22:15:00,329.9,106.68,16.6,23.3,0.0,921.0
2025-08-02 19:30:00,323.0,115.824,15.8,18.9,0.0,809.0
2025-08-02 05:00:00,325.3,112.776,16.0,13.9,0.0,0.0
2025-08-04 00:00:00,332.0,106.68,16.8,22.7,0.0,668.0
2025-08-03 08:30:00,320.6,109.728,15.4,13.2,0.0,0.0
2025-08-02 15:45:00,315.8,115.824,14.8,12.8,0.0,106.0
2025-08-03 10:00:00,319.5,109.728,15.3,12.5,0.0,0.0
2025-08-03 16:30:00,316.7,112.776,14.9,15.5,0.0,374.0
2025-08-03 14:45:00,316.4,112.776,14.9,12.1,0.0,25.0
2025-08-02 09:00:00,320.9,112.776,15.5,12.9,0.0,0.0
2025-08-03 22:30:00,330.6,106.68,16.6,23.3,0.0,921.0
2025-08-02 16:45:00,316.3,115.824,14.9,14.1,0.0,234.0
2025-08-03 13:30:00,318.7,115.824,14.9,11.8,0.0,0.0
2025-08-03 12:45:00,317.0,109.728,15.0,12.1,0.0,0.0
2025-08-03 05:00:00,325.2,109.728,15.9,13.7,0.0,0.0
2025-08-03 09:15:00,319.9,112.776,15.4,12.9,0.0,0.0
2025-08-03 19:15:00,325.8,112.776,16.1,19.9,0.0,877.0
2025-08-02 08:30:00,321.2,115.824,15.5,13.4,0.0,0.0
2025-08-04 02:15:00,329.3,106.68,16.4,17.5,0.0,276.0
2025-08-02 05:45:00,324.5,109.728,15.9,13.9,0.0,0.0
2025-08-02 23:15:00,329.8,109.728,16.6,19.8,0.0,812.0
2025-08-03 03:30:00,326.9,109.728,16.2,14.2,0.0,89.0
2025-08-02 20:15:00,324.9,115.824,16.0,19.6,0.0,924.0
2025-08-04 03:00:00,327.3,109.728,16.2,15.4,0.0,88.0
2025-08-02 05:15:00,325.0,115.824,15.9,13.9,0.0,0.0
2025-08-02 21:15:00,327.0,109.728,16.2,19.8,0.0,923.0
2025-08-03 20:00:00,326.0,109.728,16.1,21.0,0.0,952.0
2025-08-02 13:00:00,317.6,115.824,15.0,11.9,0.0,0.0
2025-08-03 03:15:00,327.3,109.728,16.2,14.2,0.0,89.0
