DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-09-09 15:30:00,325.3,283.464,18.33,17.4,0.1,40.0
2025-09-09 15:45:00,325.5,283.464,18.29,17.4,0.1,40.0
2025-09-09 16:45:00,325.1,283.464,18.33,17.7,0.05,126.0
2025-09-10 21:00:00,326.1,283.464,18.48,20.4,0.0,746.0
2025-09-09 04:00:00,328.8,280.416,18.32,18.3,0.0,0.0
2025-09-09 23:15:00,326.7,280.416,18.31,21.2,0.0,544.0
2025-09-09 16:15:00,325.2,283.464,18.23,17.7,0.05,126.0
2025-09-09 12:00:00,325.9,280.416,18.33,15.9,0.0,0.0
2025-09-10 23:00:00,327.5,295.656,18.42,19.5,0.0,644.0
2025-09-08 11:15:00,326.3,280.416,18.2,14.0,0.0,0.0
2025-09-08 10:30:00,326.6,280.416,18.05,14.0,0.0,0.0
2025-09-11 04:45:00,327.8,283.464,18.55,15.9,0.0,0.0
2025-09-11 05:45:00,327.6,280.416,18.55,15.6,0.0,0.0
2025-09-11 14:15:00,325.2,286.512,18.27,15.3,0.0,0.0
2025-09-11 07:30:00,326.6,280.416,18.46,15.1,0.0,0.0
2025-09-10 11:30:00,326.2,283.464,18.53,15.6,0.0,0.0
2025-09-09 22:00:00,326.3,283.464,18.33,22.0,0.0,595.0
2025-09-10 17:30:00,325.4,283.464,18.42,18.8,0.025,320.0
2025-09-09 22:45:00,326.5,283.464,18.37,22.0,0.0,595.0
2025-09-09 11:15:00,326.3,280.416,18.29,16.0,0.0,0.0
2025-09-09 23:30:00,326.4,283.464,18.35,21.2,0.0,544.0
2025-09-09 21:00:00,326.3,283.464,18.25,22.6,0.0,755.0
2025-09-10 06:00:00,327.5,280.416,18.57,16.4,0.025,0.0
2025-09-09 06:00:00,328.5,280.416,18.45,17.9,0.025,0.0
2025-09-10 07:45:00,327.0,280.416,18.61,16.4,0.0,0.0
2025-09-10 00:15:00,327.1,283.464,18.42,19.6,0.0,288.0
2025-09-10 16:45:00,325.4,283.464,18.3,17.9,0.0,223.0
2025-09-11 02:30:00,328.4,301.752,18.51,16.4,0.0,82.0
2025-09-11 20:45:00,321.9,280.416,18.09,21.1,0.0,600.0
2025-09-08 22:00:00,326.2,283.464,18.0,22.6,0.0,752.0
2025-09-08 19:30:00,325.1,280.416,17.85,20.8,0.0,388.0
2025-09-10 13:30:00,325.8,283.464,18.48,16.3,0.025,0.0
2025-09-09 03:00:00,328.7,280.416,18.22,19.0,0.0,6.0
2025-09-10 18:30:00,325.4,283.464,18.27,18.9,0.0,375.0
2025-09-11 01:15:00,328.4,286.512,18.6,17.9,0.0,271.0
2025-09-09 18:00:00,325.2,280.416,18.26,19.6,0.075,414.0
2025-09-10 03:15:00,327.8,280.416,18.54,17.3,0.0,4.0
2025-09-10 20:45:00,326.0,283.464,18.29,20.1,0.025,637.0
2025-09-09 14:00:00,325.5,283.464,18.37,17.1,0.025,0.0
2025-09-09 01:15:00,328.1,280.416,18.17,21.2,0.0,289.0
2025-09-11 06:15:00,327.2,277.368,18.46,15.2,0.0,0.0
2025-09-09 09:30:00,326.7,280.416,18.31,16.7,0.0,0.0
2025-09-11 05:15:00,327.8,280.416,18.5,15.6,0.0,0.0
2025-09-10 23:15:00,327.5,292.608,18.46,19.5,0.0,644.0
2025-09-11 15:00:00,325.2,286.512,18.33,15.8,0.0,43.0
2025-09-08 16:30:00,325.0,280.416,17.98,16.6,0.025,99.0
2025-09-10 22:45:00,327.0,295.656,18.47,20.0,0.0,720.0
2025-09-10 07:00:00,327.3,280.416,18.6,16.4,0.0,0.0
2025-09-10 20:00:00,325.6,283.464,18.5,20.1,0.025,637.0
2025-09-09 17:15:00,325.1,283.464,18.28,18.5,0.075,261.0
2025-09-12 02:00:00,311.0,280.416,18.27,17.9,0.0,102.0
2025-09-10 12:15:00,326.0,283.464,18.42,15.7,0.025,0.0
2025-09-10 00:00:00,327.4,280.416,18.49,19.6,0.0,288.0
2025-09-10 02:30:00,327.7,280.416,18.49,18.0,0.0,88.0
2025-09-11 19:00:00,324.0,283.464,18.16,20.0,0.0,465.0
2025-09-08 17:45:00,325.0,280.416,17.94,18.0,0.025,163.0
2025-09-10 18:45:00,325.4,283.464,18.39,18.9,0.0,375.0
2025-09-10 03:45:00,327.8,283.464,18.54,17.3,0.0,4.0
2025-09-11 17:15:00,324.9,280.416,18.18,17.6,0.0,249.0
2025-09-09 21:30:00,325.8,283.464,18.38,22.6,0.0,755.0
2025-09-10 05:30:00,327.5,280.416,18.41,16.6,0.025,0.0
2025-09-11 04:15:00,328.2,283.464,18.66,15.9,0.0,0.0
2025-09-09 05:45:00,328.5,280.416,18.45,18.0,0.0,0.0
2025-09-09 17:45:00,325.2,280.416,18.34,18.5,0.075,261.0
2025-09-09 08:45:00,327.1,280.416,18.36,17.3,0.025,0.0
2025-09-09 04:15:00,329.0,280.416,18.22,18.3,0.0,0.0
2025-09-10 05:45:00,327.5,280.416,18.53,16.6,0.025,0.0
2025-09-09 02:15:00,328.5,280.416,18.29,19.8,0.0,112.0
2025-09-12 05:30:00,303.6,280.416,18.55,15.7,0.0,0.0
2025-09-08 07:45:00,327.7,277.368,18.15,14.5,0.0,0.0
2025-09-11 21:30:00,320.6,280.416,18.19,22.3,0.0,749.0
2025-09-12 01:45:00,311.4,277.368,18.31,18.6,0.0,288.0
2025-09-10 15:00:00,325.7,283.464,18.43,16.8,0.0,49.0
2025-09-10 04:00:00,327.8,283.464,18.6,16.9,0.0,0.0
2025-09-09 16:30:00,325.2,283.464,18.35,17.7,0.05,126.0
2025-09-10 09:15:00,326.7,280.416,18.64,15.9,0.0,0.0
2025-09-11 09:30:00,326.0,280.416,18.33,14.9,0.0,0.0
2025-09-11 21:15:00,321.0,283.464,18.12,22.3,0.0,749.0
2025-09-11 03:30:00,328.2,289.56,18.61,16.2,0.0,3.0
2025-09-08 15:30:00,325.4,280.416,17.91,15.5,0.0,38.0
2025-09-11 02:00:00,328.3,289.56,18.57,16.4,0.0,82.0
2025-09-09 03:45:00,328.8,280.416,18.33,19.0,0.0,6.0
2025-09-09 12:45:00,325.9,280.416,18.28,15.9,0.0,0.0
2025-09-09 19:45:00,325.5,283.464,18.28,21.5,0.05,616.0
2025-09-12 00:45:00,313.6,277.368,18.32,19.3,0.0,429.0
2025-09-11 04:30:00,328.0,283.464,18.58,15.9,0.0,0.0
2025-09-10 09:30:00,326.7,283.464,18.52,15.9,0.0,0.0
2025-09-09 16:00:00,325.3,283.464,18.28,17.7,0.05,126.0
2025-09-09 01:00:00,327.9,280.416,18.12,21.2,0.0,289.0
2025-09-11 15:45:00,325.1,283.464,18.29,15.8,0.0,43.0
2025-09-09 19:15:00,325.2,283.464,18.27,21.5,0.05,616.0
2025-09-10 15:30:00,325.6,283.464,18.4,16.8,0.0,49.0
2025-09-08 23:30:00,327.1,280.416,18.13,22.2,0.0,598.0
2025-09-08 13:45:00,325.7,280.416,18.08,14.1,0.0,0.0
2025-09-08 14:00:00,325.6,280.416,18.02,14.5,0.0,1.0
