DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-09-08 07:00:00,609.5,35.7,16.8,14.5,0.0,0.0
2025-09-08 07:15:00,610.3,35.2,16.8,14.5,0.0,0.0
2025-09-08 07:30:00,610.8,34.5,16.7,14.5,0.0,0.0
2025-09-08 07:45:00,610.8,33.7,16.7,14.5,0.0,0.0
2025-09-08 08:00:00,611.8,35.2,16.7,14.4,0.0,0.0
2025-09-08 08:15:00,611.8,35.8,16.7,14.4,0.0,0.0
2025-09-08 08:45:00,611.0,35.8,16.7,14.4,0.0,0.0
2025-09-08 09:00:00,611.2,34.8,16.7,14.2,0.0,0.0
2025-09-08 09:15:00,611.5,36.2,16.7,14.2,0.0,0.0
2025-09-08 09:30:00,611.7,36.0,16.6,14.2,0.0,0.0
2025-09-08 09:45:00,611.7,34.7,16.7,14.2,0.0,0.0
2025-09-08 10:00:00,612.3,35.7,16.7,14.0,0.0,0.0
2025-09-08 10:15:00,611.5,35.0,16.6,14.0,0.0,0.0
2025-09-08 10:30:00,611.7,34.8,16.6,14.0,0.0,0.0
2025-09-08 10:45:00,611.5,35.0,16.6,14.0,0.0,0.0
2025-09-08 11:00:00,611.3,35.5,16.6,14.0,0.0,0.0
2025-09-08 11:15:00,611.2,35.2,16.6,14.0,0.0,0.0
2025-09-08 11:30:00,612.0,36.0,16.6,14.0,0.0,0.0
2025-09-08 11:45:00,612.2,35.7,16.5,14.0,0.0,0.0
2025-09-08 12:00:00,610.2,35.5,16.5,13.9,0.0,0.0
2025-09-08 12:15:00,611.0,36.2,16.5,13.9,0.0,0.0
2025-09-08 12:30:00,610.7,35.2,16.5,13.9,0.0,0.0
2025-09-08 12:45:00,611.2,35.7,16.5,13.9,0.0,0.0
2025-09-08 13:00:00,609.5,34.8,16.5,14.1,0.0,0.0
2025-09-08 13:15:00,609.3,35.5,16.5,14.1,0.0,0.0
2025-09-08 13:30:00,609.3,35.0,16.5,14.1,0.0,0.0
2025-09-08 13:45:00,609.0,35.2,16.5,14.1,0.0,0.0
2025-09-08 14:00:00,608.2,36.8,16.5,14.5,0.0,1.0
2025-09-08 14:15:00,608.2,36.8,16.5,14.5,0.0,1.0
2025-09-08 14:30:00,608.2,36.0,16.5,14.5,0.0,1.0
2025-09-08 14:45:00,608.5,35.7,16.5,14.5,0.0,1.0
