DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-09-08 07:00:00,480.3,211.0,18.0,14.5,0.0,0.0
2025-09-08 07:15:00,478.2,210.8,18.0,14.5,0.0,0.0
2025-09-08 07:30:00,480.3,210.8,17.9,14.5,0.0,0.0
2025-09-08 07:45:00,480.2,210.8,17.9,14.5,0.0,0.0
2025-09-08 08:00:00,479.3,210.2,17.9,14.4,0.0,0.0
2025-09-08 08:15:00,480.5,211.2,17.8,14.4,0.0,0.0
2025-09-08 08:30:00,481.7,209.2,17.8,14.4,0.0,0.0
2025-09-08 08:45:00,480.7,210.8,17.8,14.4,0.0,0.0
2025-09-08 09:00:00,482.3,210.0,17.78,14.2,0.0,0.0
2025-09-08 09:15:00,481.8,209.8,17.7,14.2,0.0,0.0
2025-09-08 09:30:00,482.3,210.3,17.7,14.2,0.0,0.0
2025-09-08 09:45:00,482.8,209.8,17.7,14.2,0.0,0.0
2025-09-08 10:00:00,482.2,209.5,17.7,14.0,0.0,0.0
2025-09-08 10:15:00,481.3,209.0,17.6,14.0,0.0,0.0
2025-09-08 10:30:00,481.5,208.0,17.6,14.0,0.0,0.0
2025-09-08 10:45:00,482.5,209.0,17.6,14.0,0.0,0.0
2025-09-08 11:00:00,482.3,210.2,17.6,14.0,0.0,0.0
2025-09-08 11:15:00,477.3,210.0,17.6,14.0,0.0,0.0
2025-09-08 11:30:00,479.0,211.7,17.58,14.0,0.0,0.0
2025-09-08 11:45:00,478.2,213.0,17.5,14.0,0.0,0.0
2025-09-08 12:00:00,479.2,212.5,17.5,13.9,0.0,0.0
2025-09-08 12:15:00,478.5,210.7,17.5,13.9,0.0,0.0
2025-09-08 12:30:00,479.5,210.7,17.5,13.9,0.0,0.0
2025-09-08 12:45:00,478.8,209.2,17.47,13.9,0.0,0.0
2025-09-08 13:00:00,480.0,209.2,17.4,14.1,0.0,0.0
2025-09-08 13:15:00,479.5,210.0,17.4,14.1,0.0,0.0
2025-09-08 13:30:00,479.7,209.2,17.4,14.1,0.0,0.0
2025-09-08 13:45:00,479.5,209.8,17.4,14.1,0.0,0.0
2025-09-08 14:00:00,480.3,209.2,17.4,14.5,0.0,1.0
2025-09-08 14:15:00,481.3,210.0,17.4,14.5,0.0,1.0
2025-09-08 14:45:00,481.5,212.2,17.4,14.5,0.0,1.0
2025-09-08 15:00:00,479.8,210.2,17.4,15.5,0.0,38.0
2025-09-08 15:15:00,480.7,210.3,17.4,15.5,0.0,38.0
2025-09-08 15:30:00,480.2,208.7,17.4,15.5,0.0,38.0
2025-09-08 15:45:00,480.8,210.8,17.4,15.5,0.0,38.0
2025-09-08 16:00:00,481.5,210.5,17.4,16.6,0.025,99.0
2025-09-08 16:15:00,480.7,210.3,17.4,16.6,0.025,99.0
2025-09-08 16:30:00,479.8,211.3,17.4,16.6,0.025,99.0
2025-09-08 16:45:00,481.0,210.5,17.4,16.6,0.025,99.0
2025-09-08 17:00:00,482.7,209.8,17.4,18.0,0.025,163.0
2025-09-08 17:15:00,482.2,210.7,17.4,18.0,0.025,163.0
2025-09-08 17:30:00,485.3,209.7,17.4,18.0,0.025,163.0
2025-09-08 17:45:00,486.8,210.0,17.4,18.0,0.025,163.0
2025-09-08 18:00:00,487.8,210.5,17.4,19.7,0.025,284.0
2025-09-08 18:15:00,487.0,211.5,17.4,19.7,0.025,284.0
2025-09-08 18:30:00,485.7,213.0,17.4,19.7,0.025,284.0
2025-09-08 18:45:00,484.3,214.5,17.48,19.7,0.025,284.0
2025-09-08 19:00:00,485.2,213.3,17.5,20.8,0.0,388.0
2025-09-08 19:15:00,486.0,213.7,17.5,20.8,0.0,388.0
2025-09-08 19:30:00,485.3,212.8,17.5,20.8,0.0,388.0
2025-09-08 19:45:00,485.5,212.2,17.6,20.8,0.0,388.0
2025-09-08 20:00:00,484.8,213.2,17.6,22.0,0.0,556.0
2025-09-08 20:15:00,483.7,213.0,17.62,22.0,0.0,556.0
2025-09-08 20:30:00,483.3,212.7,17.7,22.0,0.0,556.0
2025-09-08 20:45:00,484.7,212.7,17.7,22.0,0.0,556.0
2025-09-08 21:00:00,484.7,210.8,17.8,22.7,0.0,658.0
2025-09-08 21:15:00,485.0,212.2,17.8,22.7,0.0,658.0
2025-09-08 21:30:00,485.8,212.3,17.9,22.7,0.0,658.0
2025-09-08 21:45:00,484.8,213.0,17.98,22.7,0.0,658.0
2025-09-08 22:00:00,484.2,213.2,18.02,22.6,0.0,752.0
2025-09-08 22:15:00,482.7,211.7,18.1,22.6,0.0,752.0
2025-09-08 22:30:00,482.7,211.2,18.2,22.6,0.0,752.0
2025-09-08 23:00:00,482.3,211.2,18.2,22.2,0.0,598.0
2025-09-08 23:15:00,480.8,210.3,18.3,22.2,0.0,598.0
2025-09-08 23:30:00,481.7,211.5,18.38,22.2,0.0,598.0
2025-09-08 23:45:00,481.5,210.8,18.4,22.2,0.0,598.0
2025-09-09 00:00:00,481.8,210.7,18.4,21.4,0.0,475.0
2025-09-09 00:15:00,482.7,211.2,18.5,21.4,0.0,475.0
2025-09-09 00:30:00,483.8,211.0,18.5,21.4,0.0,475.0
2025-09-09 00:45:00,483.0,211.0,18.5,21.4,0.0,475.0
2025-09-09 01:00:00,483.8,210.8,18.5,21.2,0.0,289.0
2025-09-09 01:30:00,487.8,210.0,18.5,21.2,0.0,289.0
2025-09-09 01:45:00,488.5,211.0,18.5,21.2,0.0,289.0
2025-09-09 02:00:00,488.7,210.3,18.5,19.8,0.0,112.0
2025-09-09 02:15:00,488.7,210.2,18.5,19.8,0.0,112.0
2025-09-09 02:30:00,487.5,211.0,18.5,19.8,0.0,112.0
2025-09-09 02:45:00,489.8,210.7,18.5,19.8,0.0,112.0
2025-09-09 03:00:00,488.7,211.3,18.5,19.0,0.0,6.0
2025-09-09 03:15:00,489.0,211.8,18.45,19.0,0.0,6.0
2025-09-09 03:30:00,488.3,212.2,18.42,19.0,0.0,6.0
2025-09-09 03:45:00,488.7,212.5,18.4,19.0,0.0,6.0
2025-09-09 04:00:00,487.5,212.5,18.4,18.3,0.0,0.0
2025-09-09 04:15:00,487.2,212.3,18.4,18.3,0.0,0.0
2025-09-09 04:30:00,486.2,211.8,18.4,18.3,0.0,0.0
