DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-09-11 20:15:00,344.2,109.728,16.7,21.1,0.0,600.0
2025-09-09 05:45:00,345.8,106.68,17.4,18.0,0.0,0.0
2025-09-11 03:15:00,346.8,109.728,17.1,16.2,0.0,3.0
2025-09-11 10:15:00,342.1,115.824,16.5,15.0,0.0,0.0
2025-09-10 00:15:00,350.7,109.728,17.8,19.6,0.0,288.0
2025-09-10 03:00:00,348.2,109.728,17.5,17.3,0.0,4.0
2025-09-11 06:45:00,343.4,112.776,16.7,15.2,0.0,0.0
2025-09-10 02:00:00,349.2,112.776,17.6,18.0,0.0,88.0
2025-09-09 00:00:00,347.7,109.728,17.7,21.4,0.0,475.0
2025-09-09 22:45:00,351.2,112.776,17.9,22.0,0.0,595.0
2025-09-10 10:15:00,345.8,143.256,17.2,15.7,0.0,0.0
2025-09-11 00:15:00,350.1,109.728,17.5,18.5,0.0,478.0
2025-09-10 21:00:00,348.1,115.824,17.3,20.4,0.0,746.0
2025-09-08 15:45:00,337.2,109.728,16.5,15.5,0.0,38.0
2025-09-11 23:15:00,348.1,109.728,17.1,21.0,0.0,620.0
2025-09-09 19:30:00,348.1,121.92000000000002,17.6,21.5,0.05,616.0
2025-09-09 22:30:00,351.2,112.776,17.9,22.0,0.0,595.0
2025-09-10 02:45:00,348.7,109.728,17.6,18.0,0.0,88.0
2025-09-10 11:00:00,347.0,134.112,17.3,15.6,0.0,0.0
2025-09-12 00:30:00,348.1,109.728,17.1,19.3,0.0,429.0
2025-09-10 08:30:00,347.7,128.016,17.4,16.2,0.0,0.0
2025-09-11 08:15:00,342.7,112.776,16.6,15.0,0.0,0.0
2025-09-09 20:45:00,350.1,115.824,17.8,22.4,0.0,725.0
2025-09-09 23:00:00,351.0,112.776,17.9,21.2,0.0,544.0
2025-09-11 05:00:00,344.7,109.728,16.9,15.6,0.0,0.0
