DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-09-08 07:00:00,340.2,-3087.6240000000003,18.4,14.5,0.0,0.0
2025-09-08 07:15:00,339.7,-3087.6240000000003,18.4,14.5,0.0,0.0
2025-09-08 07:30:00,339.3,-3087.6240000000003,18.3,14.5,0.0,0.0
2025-09-08 07:45:00,339.0,-3087.6240000000003,18.3,14.5,0.0,0.0
2025-09-08 08:00:00,338.6,-3087.6240000000003,18.3,14.4,0.0,0.0
2025-09-08 08:15:00,338.6,-3090.6720000000005,18.3,14.4,0.0,0.0
2025-09-08 08:30:00,338.4,-3087.6240000000003,18.3,14.4,0.0,0.0
2025-09-08 08:45:00,338.0,-3087.6240000000003,18.3,14.4,0.0,0.0
2025-09-08 09:00:00,337.7,-3090.6720000000005,18.3,14.2,0.0,0.0
2025-09-08 09:15:00,337.3,-3087.6240000000003,18.3,14.2,0.0,0.0
2025-09-08 09:30:00,337.3,-3087.6240000000003,18.3,14.2,0.0,0.0
2025-09-08 09:45:00,336.9,-3090.6720000000005,18.3,14.2,0.0,0.0
2025-09-08 10:00:00,336.8,-3087.6240000000003,18.3,14.0,0.0,0.0
2025-09-08 10:15:00,336.9,-3090.6720000000005,18.3,14.0,0.0,0.0
2025-09-08 10:30:00,336.7,-3087.6240000000003,18.3,14.0,0.0,0.0
2025-09-08 10:45:00,336.4,-3090.6720000000005,18.3,14.0,0.0,0.0
2025-09-08 11:00:00,336.4,-3087.6240000000003,18.3,14.0,0.0,0.0
2025-09-08 11:15:00,336.8,-3090.6720000000005,18.4,14.0,0.0,0.0
2025-09-08 11:30:00,337.1,-3090.6720000000005,18.4,14.0,0.0,0.0
2025-09-08 11:45:00,336.9,-3090.6720000000005,18.4,14.0,0.0,0.0
2025-09-08 12:00:00,336.9,-3093.7200000000003,18.3,13.9,0.0,0.0
2025-09-08 12:15:00,336.8,-3093.7200000000003,18.3,13.9,0.0,0.0
2025-09-08 12:30:00,336.7,-3093.7200000000003,18.3,13.9,0.0,0.0
2025-09-08 12:45:00,336.7,-3093.7200000000003,18.3,13.9,0.0,0.0
2025-09-08 13:00:00,336.7,-3093.7200000000003,18.3,14.1,0.0,0.0
2025-09-08 13:15:00,336.5,-3093.7200000000003,18.3,14.1,0.0,0.0
2025-09-08 13:30:00,336.7,-3093.7200000000003,18.3,14.1,0.0,0.0
2025-09-08 13:45:00,336.5,-3090.6720000000005,18.3,14.1,0.0,0.0
