uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
663bf08d-4969-4baa-956d-3048f5def8d5,south_fork_0,2025-09-10 05:00:00,707.8,168.7,18.0,4.048,,
97eaddd6-f90a-440b-a32b-7512bbe7483b,south_fork_0,2025-09-10 05:15:00,707.7,168.0,18.0,4.033,,
9911d42b-d0cf-49bf-98c1-c2f54a574348,south_fork_0,2025-09-10 05:30:00,708.0,169.0,18.0,4.048,,
da37b7b9-2b64-4a51-a93f-93ed2188a096,south_fork_0,2025-09-10 05:45:00,707.8,169.7,18.0,4.048,,
c145ec5d-5364-4f83-93d8-be19acc92847,south_fork_0,2025-09-10 06:00:00,708.0,168.3,18.0,4.048,,
f1ff5288-77f5-4302-a4d8-214168e4c288,south_fork_0,2025-09-10 06:15:00,708.3,170.8,18.0,4.048,,
40ee5319-0cd8-4901-a785-0c4011f744bd,south_fork_0,2025-09-10 06:30:00,706.7,168.7,18.0,4.048,,
c366315a-1de3-43ad-a807-329a4afc9f39,south_fork_0,2025-09-10 06:45:00,705.2,168.7,18.0,4.048,,
757d7ed2-39a7-4d45-ba4e-72933f3689c7,south_fork_0,2025-09-10 07:00:00,706.2,167.8,18.0,4.048,,
c88f6a29-b738-4c39-8115-accb7a5c4468,south_fork_0,2025-09-10 07:15:00,708.7,169.3,18.0,4.033,,
61860f9b-e767-4252-86a6-dec6a183b932,south_fork_0,2025-09-10 07:30:00,677.7,191.2,18.0,4.048,,
491a27ae-2219-4f9a-abbd-f27ec6f1894a,south_fork_0,2025-09-10 07:45:00,423.3,238.8,18.6,4.048,,
d45af41d-216b-46dc-9dba-83a050986283,south_fork_0,2025-09-10 08:00:00,452.3,204.0,18.7,4.048,,
dd5478d7-28da-4020-829b-5db40f6cf428,south_fork_0,2025-09-10 08:15:00,433.5,186.8,18.5,4.033,,
eea318a0-530a-48b3-8856-17536d631b0c,south_fork_0,2025-09-10 08:30:00,430.5,179.3,18.4,4.048,,
de3f7fb2-b45c-45c4-b7ce-be12ae119902,south_fork_0,2025-09-10 08:45:00,469.3,177.7,18.4,4.048,,
03ac0733-7265-4ee9-a2ce-9a2ce77ca2a6,south_fork_0,2025-09-10 09:00:00,548.5,176.7,18.4,4.048,,
87ee9764-d8df-4986-b0b6-b635bdce7d08,south_fork_0,2025-09-10 09:15:00,589.8,172.2,18.3,4.048,,
8936a2c4-fcd5-4f70-b954-f4635dbeadaf,south_fork_0,2025-09-10 09:30:00,615.7,170.5,18.3,4.048,,
f6137b52-290d-42ec-9275-003344708453,south_fork_0,2025-09-10 09:45:00,635.5,169.7,18.25,4.048,,
9a3b4e36-89a3-4aa8-91cb-9c869620f217,south_fork_0,2025-09-10 10:00:00,656.2,171.0,18.2,4.048,,
8e7eb134-b474-4a59-8bfb-70e79633cdee,south_fork_0,2025-09-10 10:15:00,678.3,170.5,18.2,4.048,,
59a4312e-2d00-4362-9d15-83906911b969,south_fork_0,2025-09-10 10:30:00,695.0,168.8,18.1,4.048,,
b540e9c2-f5c8-4d45-a820-eea327343598,south_fork_0,2025-09-10 10:45:00,708.5,168.8,18.1,4.048,,
bdd4845f-bd40-447f-bdf7-3f1dc30ef2a7,south_fork_0,2025-09-10 11:00:00,716.3,170.2,18.1,4.048,,
0c931fed-b171-4eb0-881d-6650ecd41187,south_fork_0,2025-09-10 11:15:00,724.0,170.0,18.1,4.048,,
fcb4fdd3-f97d-45eb-bb18-ce39cc61a234,south_fork_0,2025-09-10 11:30:00,727.0,170.3,18.03,4.033,,
75e4dcda-6dbd-4ad0-b948-7ca9eee3ef13,south_fork_0,2025-09-10 11:45:00,723.0,169.0,18.0,4.048,,
abe94c12-b016-4ec9-9a85-49a7f3f06f8d,south_fork_0,2025-09-10 12:00:00,715.8,168.8,18.0,4.048,,
