uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
92bff02a-6fa1-4fce-94ed-1dcd7dd99b21,south_fork_2,2025-09-08 07:00:00,591.2,497.5,18.3,4.139
cf65a1a3-4b5b-44ff-8dcc-9a58f92e3fc0,south_fork_2,2025-09-08 07:15:00,590.7,499.5,18.2,4.139
ffc4e413-80fa-4475-93d6-075790d8c0ef,south_fork_2,2025-09-08 07:30:00,591.0,497.5,18.2,4.124
3f46d7b8-c61e-4312-b34e-ec96bced0734,south_fork_2,2025-09-08 07:45:00,591.3,497.0,18.2,4.139
5500a94f-1b7d-49c5-9cbc-372a580e5d29,south_fork_2,2025-09-08 08:00:00,591.0,497.0,18.1,4.139
dfd49d1f-d5ec-40d3-a5a8-a3dfcefe6eeb,south_fork_2,2025-09-08 08:15:00,591.5,498.2,18.1,4.139
b766a9d2-8409-4a7c-abe6-db64086ee7bf,south_fork_2,2025-09-08 08:30:00,591.7,499.0,18.1,4.139
62f02c50-97f9-4c17-8627-98f263ce6007,south_fork_2,2025-09-08 08:45:00,591.5,497.5,18.0,4.139
6b974100-e62a-4b68-b56e-30d77844ba17,south_fork_2,2025-09-08 09:00:00,591.2,497.5,18.0,4.139
36b87536-d042-4ff8-baec-c20a4d1439dc,south_fork_2,2025-09-08 09:15:00,590.7,498.0,18.0,4.139
fe326aec-baba-4876-9935-c0161c9480e6,south_fork_2,2025-09-08 09:30:00,590.7,497.0,18.0,4.124
80b82c76-32f9-4ee8-b437-4c99a8cab47a,south_fork_2,2025-09-08 09:45:00,590.7,497.7,17.9,4.139
178d4619-60e0-47f6-adc7-da1f7aaa2a17,south_fork_2,2025-09-08 10:00:00,589.8,497.8,17.9,4.139
a25f944a-9c66-4713-be95-3dbd4f91e521,south_fork_2,2025-09-08 10:15:00,589.5,498.7,17.9,4.124
10254e95-3ff6-4953-9045-4cce3b30541f,south_fork_2,2025-09-08 10:30:00,589.2,499.5,17.9,4.124
6fd73d48-d34c-4f53-a474-7a60971bcaaa,south_fork_2,2025-09-08 10:45:00,588.7,500.7,17.9,4.124
706fa6b3-041a-431f-8caa-5ee4588fd877,south_fork_2,2025-09-08 11:00:00,587.5,498.0,17.8,4.139
f54823e7-d050-4df7-8cdb-39e26ef7059b,south_fork_2,2025-09-08 11:15:00,587.5,499.5,17.8,4.124
c58a21c9-40b1-47fc-81f0-8234e6f05cac,south_fork_2,2025-09-08 11:30:00,586.7,498.3,17.8,4.124
603b039a-f18e-49e3-b4e2-5e9c2fb0f3f9,south_fork_2,2025-09-08 11:45:00,585.8,498.2,17.8,4.124
91461de4-8f14-4529-bcb1-1918247d4ee2,south_fork_2,2025-09-08 12:00:00,585.5,499.2,17.8,4.124
bcc77ea6-d9bb-45b9-987d-a2572b86cae3,south_fork_2,2025-09-08 12:15:00,585.8,498.2,17.8,4.124
6a496ba9-6f3f-48af-9a26-1209fc4a271e,south_fork_2,2025-09-08 12:30:00,586.5,499.0,17.8,4.124
a425386f-d6e0-4bf7-ae87-4e2895fb9345,south_fork_2,2025-09-08 12:45:00,585.7,500.0,17.8,4.124
cf3385ec-a12b-4e70-901d-bef9e1b8dbc1,south_fork_2,2025-09-08 13:00:00,585.8,500.0,17.75,4.124
f562b96f-ca03-4bf9-acc1-5af31ef7381d,south_fork_2,2025-09-08 13:15:00,586.3,497.8,17.7,4.124
54363274-8912-4cab-93d5-e4cce598063e,south_fork_2,2025-09-08 13:30:00,586.0,499.0,17.7,4.124
7e4a1807-30a4-48ed-9b0f-fd2342bed8d3,south_fork_2,2025-09-08 13:45:00,586.5,502.7,17.7,4.124
71db6210-ec4f-4a05-b719-d574c7070eec,south_fork_2,2025-09-08 14:00:00,586.5,502.2,17.7,4.124
379fd7d3-eb01-4ccc-942c-68ca076b74f0,south_fork_2,2025-09-08 14:15:00,586.5,502.7,17.7,4.139
56f7c777-c91f-47f8-9516-5768ec197535,south_fork_2,2025-09-08 14:30:00,586.5,502.0,17.7,4.124
7fe17c2d-f102-4e4e-b28b-66d9448ab19c,south_fork_2,2025-09-08 14:45:00,586.5,501.8,17.7,4.124
78a3b1e8-f1cc-4d09-800a-9f88fd492adf,south_fork_2,2025-09-08 15:00:00,585.8,503.0,17.7,4.124
d6f18eba-db4f-4088-a895-8cd28006a311,south_fork_2,2025-09-08 15:15:00,586.5,502.3,17.7,4.124
fb790de8-7076-4b5a-9f00-033d7da1f849,south_fork_2,2025-09-08 15:30:00,586.0,499.7,17.7,4.124
5c7f1fd1-0251-43d5-ac78-c94e2fc0fb44,south_fork_2,2025-09-08 15:45:00,585.8,501.0,17.7,4.124
71d2ec5f-ceeb-4727-92cb-08cff7142b73,south_fork_2,2025-09-08 16:00:00,586.0,501.8,17.7,4.124
5dc106c2-ec73-4ac1-ba76-73426d07e992,south_fork_2,2025-09-08 16:15:00,585.7,502.0,17.78,4.215
e525fe33-85e4-40ca-b283-fbf9685b7db9,south_fork_2,2025-09-08 16:30:00,585.2,500.5,17.8,4.215
ad0771d7-d9b9-4601-9646-c4c06291d73f,south_fork_2,2025-09-08 16:45:00,584.8,500.2,17.8,4.245
6ba4bc9e-003b-4837-9740-fa2b9eadb7cc,south_fork_2,2025-09-08 17:00:00,584.3,499.5,17.8,4.23
8228697d-87a0-4798-b66e-c6b75befeb36,south_fork_2,2025-09-08 17:15:00,582.7,499.5,17.8,4.23
b5a1ba32-7457-4f7f-a747-cae8984c7fff,south_fork_2,2025-09-08 17:30:00,581.3,501.0,17.8,4.245
180b1bfd-f580-4729-9bce-2263048f2a15,south_fork_2,2025-09-08 17:45:00,580.0,501.0,17.9,4.245
2480ae9a-836f-446a-bb57-a7a1a8c1611a,south_fork_2,2025-09-08 18:00:00,578.2,500.5,17.9,4.245
7ab02b95-1b54-402f-bfb6-1fbb68c220a2,south_fork_2,2025-09-08 18:15:00,576.3,500.5,17.9,4.245
3d87fdb8-9f58-4a81-8a0e-14f52d7873d6,south_fork_2,2025-09-08 18:30:00,575.5,501.2,18.0,4.245
de5187b3-a5eb-4450-b11f-9406e7669ca8,south_fork_2,2025-09-08 18:45:00,573.5,502.0,18.0,4.245
fba3e826-eb30-4d48-8ce7-7d8fcae3839c,south_fork_2,2025-09-08 19:00:00,573.5,502.2,18.1,4.245
7eb9a3c7-59a3-4f77-a676-dd9652f7e5d8,south_fork_2,2025-09-08 19:15:00,572.7,502.8,18.1,4.245
956e3ad9-459f-428a-a1fd-dbc2e260af8f,south_fork_2,2025-09-08 19:30:00,572.5,501.0,18.2,4.245
8d58b1a4-ccbf-4577-9520-6e5d6863ffd9,south_fork_2,2025-09-08 19:45:00,572.7,500.8,18.2,4.245
fc913729-4125-4239-8ad8-d938059b3fda,south_fork_2,2025-09-08 20:00:00,573.8,500.0,18.3,4.366
e9c7ff18-6a9d-4cfa-b45d-398bc13b3cc2,south_fork_2,2025-09-08 20:15:00,574.7,501.2,18.4,4.351
3981ffa4-f6ac-41f0-b2ae-1e746c1f297d,south_fork_2,2025-09-08 20:30:00,575.3,502.3,18.4,4.351
63963b46-f7ed-4297-9b8f-da20a3845175,south_fork_2,2025-09-08 20:45:00,575.5,502.2,18.5,4.366
cd8a0e52-d64c-4547-a044-c96df129a569,south_fork_2,2025-09-08 21:00:00,576.5,500.5,18.7,4.366
8c947870-d999-4a6d-906b-6a8f3bed7a7a,south_fork_2,2025-09-08 21:15:00,578.3,499.7,19.0,4.351
5421bb51-e699-428f-af74-bce9246a9826,south_fork_2,2025-09-08 21:30:00,578.8,499.8,19.2,4.351
6645a77e-0d23-4e3b-ba15-a47adab89991,south_fork_2,2025-09-08 21:45:00,578.5,498.3,19.3,4.366
110e71d7-c0f1-4482-8fb2-92c8e0b77af3,south_fork_2,2025-09-08 22:00:00,577.2,498.8,19.5,4.366
d87adeca-2ae7-406b-945b-e6bd85aa71ab,south_fork_2,2025-09-08 22:15:00,576.7,499.3,19.6,4.366
b991c5b6-7a0e-4f2e-a791-389e7fe9f064,south_fork_2,2025-09-08 22:30:00,576.2,498.2,19.6,4.351
0715830a-d4f8-4123-a449-f49d2e6a5c9b,south_fork_2,2025-09-08 22:45:00,576.7,498.8,19.6,4.23
77ee878c-ce0e-4901-815d-46b51b35fd3d,south_fork_2,2025-09-08 23:00:00,577.3,500.7,19.5,4.366
