uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
00459982-73e8-4348-9d0b-5fe4e43f04c0,SCNF010,2025-11-06 03:45:00,239.2,589.5,18.7,4.154,,
00d21541-06e1-4e7c-af3f-80cd8b41804a,SCNF010,2025-11-04 18:00:00,368.2,573.3,20.3,4.397,,
01bd4cc6-0b97-4ecd-87b4-7ba3a2625738,SCNF010,2025-11-04 22:00:00,377.0,579.8,20.2,4.26,,
024b3e9c-b5eb-48ba-8bdf-cccc23d5269d,SCNF010,2025-11-06 10:00:00,273.8,565.2,19.4,4.154,,
026c7bc7-de62-4b06-982f-47822063b975,SCNF010,2025-11-06 07:30:00,269.2,570.7,19.5,4.154,,
04c31303-5fb6-4a51-af1c-360624fbb6fc,SCNF010,2025-11-05 02:00:00,373.8,574.2,20.1,4.154,,
053671f3-3363-493a-907b-567b0c01ca1f,SCNF010,2025-11-06 22:00:00,316.0,574.2,19.8,4.26,,
0574a265-111f-49de-b40b-8ce6e9e1d9cf,SCNF010,2025-11-05 14:15:00,185.3,904.5,17.5,4.139,,
0583915c-d4f4-456b-9f56-8aa9744af917,SCNF010,2025-11-07 15:15:00,349.2,597.8,19.2,4.169,,
06a859e4-2b99-448b-86fa-24444eb01cbe,SCNF010,2025-11-05 08:30:00,404.8,581.8,20.0,4.154,,
07e22682-bc9b-4865-904b-f207455d7265,SCNF010,2025-11-06 23:45:00,332.0,567.2,19.8,4.245,,
0807a96c-143a-4f1f-a863-7340bee10d54,SCNF010,2025-11-04 09:15:00,355.8,578.2,20.12,4.154,,
080da27d-f548-4904-9c22-f6c18ec71e40,SCNF010,2025-11-07 10:15:00,336.2,566.8,19.5,4.139,,
0869dcf0-1796-4989-bf02-b975d0abcb63,SCNF010,2025-11-06 21:00:00,309.0,566.5,19.8,4.412,,
095f80a9-a090-426c-ab05-0f9421d8362f,SCNF010,2025-11-07 02:15:00,343.8,566.5,19.8,4.154,,
097987eb-ff83-4287-8259-96ae7c1c50e6,SCNF010,2025-11-07 01:45:00,341.5,570.8,19.8,4.154,,
097a9ed4-1253-4c75-814d-f347be6a762d,SCNF010,2025-11-04 13:45:00,355.5,578.8,20.1,4.139,,
