DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-06 03:45:00,239.2,589.5,18.7,14.7,0.0,0.0
2025-11-04 18:00:00,368.2,573.3,20.3,17.6,0.0,357.0
2025-11-04 22:00:00,377.0,579.8,20.2,19.7,0.0,437.0
2025-11-06 10:00:00,273.8,565.2,19.4,12.4,0.0,0.0
2025-11-06 07:30:00,269.2,570.7,19.5,14.1,0.025,0.0
2025-11-05 02:00:00,373.8,574.2,20.1,15.4,0.0,0.0
2025-11-06 22:00:00,316.0,574.2,19.8,18.8,0.0,364.0
2025-11-05 14:15:00,185.3,904.5,17.5,13.2,0.525,0.0
2025-11-07 15:15:00,349.2,597.8,19.2,12.5,0.0,1.0
2025-11-05 08:30:00,404.8,581.8,20.0,14.6,0.0,0.0
2025-11-06 23:45:00,332.0,567.2,19.8,18.4,0.0,288.0
2025-11-04 09:15:00,355.8,578.2,20.12,11.8,0.0,0.0
2025-11-07 10:15:00,336.2,566.8,19.5,11.9,0.0,0.0
2025-11-06 21:00:00,309.0,566.5,19.8,18.7,0.0,435.0
2025-11-07 02:15:00,343.8,566.5,19.8,13.4,0.0,0.0
2025-11-07 01:45:00,341.5,570.8,19.8,14.7,0.0,53.0
2025-11-04 13:45:00,355.5,578.8,20.1,11.6,0.0,0.0
