DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-04 17:15:00,465.2,23.5,14.7,16.0,0.0,210.0
2025-11-04 17:30:00,466.0,22.3,14.8,16.0,0.0,210.0
2025-11-04 18:00:00,466.7,21.7,14.8,17.6,0.0,357.0
2025-11-04 18:15:00,467.2,21.0,14.8,17.6,0.0,357.0
2025-11-04 19:15:00,467.7,24.0,14.9,18.4,0.0,398.0
2025-11-04 19:30:00,468.0,23.3,14.9,18.4,0.0,398.0
2025-11-04 19:45:00,469.2,23.5,14.95,18.4,0.0,398.0
2025-11-04 20:00:00,469.5,23.2,15.0,19.4,0.0,517.0
2025-11-04 20:15:00,470.0,22.8,15.0,19.4,0.0,517.0
2025-11-04 20:30:00,470.3,22.2,15.0,19.4,0.0,517.0
2025-11-04 21:30:00,471.0,23.5,15.1,19.7,0.0,500.0
2025-11-04 22:30:00,470.8,24.0,15.1,19.7,0.0,437.0
2025-11-04 23:30:00,469.7,22.0,15.2,19.2,0.0,301.0
2025-11-05 18:45:00,339.3,42.5,15.1,16.5,0.05,185.0
2025-11-05 19:00:00,318.3,39.5,15.1,16.1,0.125,212.0
2025-11-05 19:15:00,296.5,39.0,15.15,16.1,0.125,212.0
2025-11-05 19:45:00,269.7,37.5,15.2,16.1,0.125,212.0
2025-11-06 18:00:00,340.5,26.5,15.4,16.7,0.025,297.0
2025-11-06 18:15:00,341.8,26.0,15.4,16.7,0.025,297.0
2025-11-06 19:00:00,344.8,26.7,15.4,17.9,0.025,405.0
2025-11-06 19:15:00,345.2,26.5,15.4,17.9,0.025,405.0
2025-11-06 20:00:00,349.2,27.7,15.5,18.5,0.0,437.0
2025-11-06 20:15:00,349.7,27.0,15.5,18.5,0.0,437.0
2025-11-06 20:30:00,350.5,27.5,15.5,18.5,0.0,437.0
2025-11-06 21:00:00,352.3,27.8,15.5,18.7,0.0,435.0
2025-11-06 21:15:00,353.2,26.8,15.5,18.7,0.0,435.0
2025-11-07 19:30:00,412.0,23.5,15.3,16.5,0.0,216.0
