DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-05 11:15:00,329.2,100.584,13.7,14.8,0.0,0.0
2025-11-04 01:15:00,331.9,97.536,13.8,13.8,0.0,69.0
2025-11-04 07:15:00,330.8,100.584,13.7,11.6,0.0,0.0
2025-11-05 06:15:00,335.1,97.536,14.3,14.7,0.0,0.0
2025-11-07 08:45:00,320.6,97.536,13.7,12.2,0.0,0.0
2025-11-05 10:00:00,330.9,100.584,13.8,14.9,0.0,0.0
2025-11-06 16:45:00,323.2,100.584,14.1,14.1,0.0,47.0
2025-11-06 12:45:00,324.3,100.584,14.2,12.9,0.0,0.0
2025-11-07 08:15:00,321.0,97.536,13.8,12.2,0.0,0.0
2025-11-04 02:45:00,330.6,100.584,13.7,12.6,0.0,0.0
2025-11-06 22:15:00,328.3,97.536,14.7,18.8,0.0,364.0
2025-11-06 06:30:00,327.8,106.68,14.2,14.6,0.0,0.0
2025-11-05 18:30:00,327.6,140.208,13.7,16.5,0.05,185.0
2025-11-07 05:00:00,323.1,97.536,14.0,12.3,0.0,0.0
2025-11-05 05:00:00,335.3,100.584,14.3,15.4,0.0,0.0
2025-11-06 11:30:00,323.9,100.584,14.2,11.6,0.0,0.0
2025-11-05 11:00:00,329.5,100.584,13.7,14.8,0.0,0.0
2025-11-04 14:15:00,330.9,100.584,13.7,11.5,0.0,0.0
2025-11-04 09:45:00,329.6,100.584,13.6,11.8,0.0,0.0
2025-11-04 21:30:00,338.1,100.584,14.6,19.7,0.0,500.0
2025-11-05 01:45:00,339.1,97.536,14.7,15.8,0.0,39.0
2025-11-05 13:15:00,326.5,103.632,13.4,15.1,0.2,0.0
2025-11-06 04:00:00,329.4,115.824,14.3,14.5,0.0,0.0
2025-11-05 16:15:00,324.0,170.68800000000002,13.2,13.8,0.725,17.0
2025-11-05 22:30:00,329.2,121.92000000000002,14.0,17.1,0.025,352.0
2025-11-06 06:15:00,327.9,106.68,14.2,14.6,0.0,0.0
2025-11-06 15:30:00,322.9,100.584,14.0,13.3,0.0,1.0
2025-11-06 16:00:00,322.5,100.584,14.0,14.1,0.0,47.0
2025-11-06 20:00:00,325.9,97.536,14.4,18.5,0.0,437.0
2025-11-07 01:45:00,325.6,97.536,14.3,14.7,0.0,53.0
2025-11-05 02:45:00,337.8,97.536,14.6,15.4,0.0,0.0
2025-11-04 12:15:00,330.7,100.584,13.7,11.9,0.0,0.0
2025-11-06 10:45:00,323.9,100.584,14.2,12.4,0.0,0.0
2025-11-05 19:00:00,327.3,131.064,13.7,16.1,0.125,212.0
2025-11-04 00:15:00,332.4,100.584,13.9,15.6,0.0,234.0
2025-11-04 14:45:00,330.9,100.584,13.7,11.5,0.0,0.0
2025-11-06 15:45:00,322.8,100.584,14.0,13.3,0.0,1.0
2025-11-04 23:15:00,339.5,97.536,14.8,19.2,0.0,301.0
2025-11-04 23:30:00,339.8,97.536,14.8,19.2,0.0,301.0
2025-11-06 09:00:00,324.8,103.632,14.2,12.7,0.0,0.0
2025-11-04 06:30:00,330.2,106.68,13.6,11.2,0.0,0.0
2025-11-05 09:15:00,331.6,103.632,13.9,14.8,0.0,0.0
2025-11-07 08:00:00,321.1,97.536,13.8,12.2,0.0,0.0
2025-11-07 10:45:00,319.2,97.536,13.6,11.9,0.0,0.0
2025-11-05 04:45:00,335.6,103.632,14.3,15.7,0.0,0.0
2025-11-05 09:30:00,331.3,100.584,13.9,14.8,0.0,0.0
2025-11-06 03:30:00,329.6,118.872,14.3,14.7,0.0,0.0
2025-11-03 21:30:00,331.9,103.632,13.9,17.4,0.0,576.0
2025-11-07 19:00:00,321.2,97.536,14.0,16.5,0.0,216.0
2025-11-03 20:00:00,331.2,103.632,13.8,16.5,0.0,555.0
2025-11-04 03:45:00,330.6,100.584,13.7,12.3,0.0,0.0
2025-11-06 15:00:00,323.1,100.584,14.0,13.3,0.0,1.0
2025-11-07 15:45:00,317.4,94.488,13.4,12.5,0.0,1.0
2025-11-04 17:15:00,331.3,100.584,13.8,16.0,0.0,210.0
2025-11-04 18:30:00,332.5,103.632,14.0,17.6,0.0,357.0
2025-11-05 09:00:00,332.0,100.584,14.0,14.8,0.0,0.0
2025-11-03 22:15:00,332.2,100.584,13.9,17.6,0.0,513.0
2025-11-05 06:00:00,335.2,97.536,14.3,14.7,0.0,0.0
2025-11-06 23:45:00,327.9,97.536,14.6,18.4,0.0,288.0
2025-11-04 15:00:00,331.0,100.584,13.7,11.5,0.0,4.0
2025-11-05 18:15:00,328.0,146.304,13.8,16.5,0.05,185.0
2025-11-05 16:00:00,324.1,173.736,13.2,13.8,0.725,17.0
2025-11-06 23:00:00,328.3,97.536,14.7,18.4,0.0,288.0
2025-11-06 02:00:00,330.2,137.16,14.3,14.8,0.025,0.0
2025-11-05 10:30:00,330.3,100.584,13.8,14.9,0.0,0.0
2025-11-03 23:15:00,332.3,100.584,13.9,16.9,0.0,395.0
2025-11-06 06:00:00,328.3,106.68,14.2,14.6,0.0,0.0
2025-11-06 07:00:00,327.3,106.68,14.2,14.1,0.025,0.0
2025-11-07 02:00:00,325.3,100.584,14.3,13.4,0.0,0.0
2025-11-04 11:00:00,329.3,109.728,13.5,11.4,0.0,0.0
2025-11-06 08:45:00,325.4,103.632,14.2,13.4,0.0,0.0
2025-11-05 21:15:00,328.3,112.776,13.8,17.1,0.025,290.0
2025-11-04 03:30:00,330.6,100.584,13.7,12.3,0.0,0.0
2025-11-07 04:45:00,323.2,97.536,14.1,12.4,0.0,0.0
2025-11-06 21:30:00,327.3,97.536,14.6,18.7,0.0,435.0
2025-11-06 12:15:00,324.2,100.584,14.2,12.9,0.0,0.0
2025-11-07 01:15:00,326.4,97.536,14.4,14.7,0.0,53.0
2025-11-05 11:30:00,328.8,100.584,13.6,14.8,0.0,0.0
2025-11-05 03:45:00,336.3,97.536,14.4,15.7,0.0,0.0
2025-11-04 13:00:00,330.9,100.584,13.7,11.6,0.0,0.0
2025-11-04 18:15:00,332.5,106.68,13.9,17.6,0.0,357.0
2025-11-06 03:45:00,329.4,115.824,14.2,14.7,0.0,0.0
2025-11-05 09:45:00,331.0,100.584,13.9,14.8,0.0,0.0
2025-11-07 02:45:00,324.6,97.536,14.2,13.4,0.0,0.0
2025-11-04 03:00:00,330.5,103.632,13.7,12.3,0.0,0.0
2025-11-06 21:45:00,327.6,97.536,14.6,18.7,0.0,435.0
2025-11-07 12:45:00,317.8,97.536,13.4,12.1,0.0,0.0
2025-11-06 22:45:00,328.3,97.536,14.7,18.8,0.0,364.0
2025-11-07 16:00:00,317.5,94.488,13.4,13.1,0.0,28.0
2025-11-06 07:30:00,326.8,103.632,14.2,14.1,0.025,0.0
2025-11-05 15:45:00,323.8,182.88,13.2,13.2,0.425,0.0
2025-11-07 01:30:00,326.0,97.536,14.4,14.7,0.0,53.0
2025-11-07 17:30:00,318.6,97.536,13.7,14.2,0.0,116.0
2025-11-04 00:00:00,332.4,100.584,13.9,15.6,0.0,234.0
2025-11-05 22:00:00,328.2,115.824,13.8,17.1,0.025,352.0
2025-11-04 12:30:00,330.9,103.632,13.7,11.9,0.0,0.0
2025-11-06 14:30:00,323.4,100.584,14.1,13.0,0.0,0.0
2025-11-06 08:00:00,326.2,106.68,14.2,13.4,0.0,0.0
2025-11-05 17:30:00,327.6,158.496,13.7,14.8,0.05,64.0
2025-11-05 14:00:00,325.9,134.112,13.4,13.2,0.525,0.0
2025-11-06 12:00:00,324.0,103.632,14.2,12.9,0.0,0.0
2025-11-06 20:30:00,326.4,97.536,14.4,18.5,0.0,437.0
2025-11-06 02:15:00,330.3,131.064,14.3,14.8,0.025,0.0
2025-11-05 07:45:00,333.4,97.536,14.1,14.6,0.0,0.0
2025-11-03 23:45:00,332.3,103.632,13.9,16.9,0.0,395.0
2025-11-05 15:15:00,324.4,219.456,13.3,13.2,0.425,0.0
2025-11-07 11:30:00,319.0,97.536,13.5,11.9,0.0,0.0
2025-11-04 06:15:00,330.1,103.632,13.6,11.2,0.0,0.0
2025-11-06 13:15:00,324.1,100.584,14.2,12.9,0.0,0.0
2025-11-05 04:30:00,335.6,97.536,14.3,15.7,0.0,0.0
2025-11-03 21:45:00,332.0,100.584,13.9,17.4,0.0,576.0
2025-11-06 00:30:00,331.3,170.68800000000002,14.3,15.6,0.0,180.0
2025-11-05 14:15:00,326.0,201.168,13.4,13.2,0.525,0.0
2025-11-07 12:30:00,318.1,97.536,13.4,12.1,0.0,0.0
2025-11-07 18:15:00,320.0,97.536,13.8,14.9,0.0,158.0
2025-11-05 21:45:00,328.3,109.728,13.9,17.1,0.025,290.0
2025-11-07 15:15:00,317.3,97.536,13.4,12.5,0.0,1.0
2025-11-06 06:45:00,327.3,106.68,14.2,14.6,0.0,0.0
2025-11-05 10:15:00,330.6,100.584,13.8,14.9,0.0,0.0
2025-11-05 17:45:00,328.4,155.448,13.8,14.8,0.05,64.0
2025-11-07 10:15:00,319.6,97.536,13.6,11.9,0.0,0.0
2025-11-05 06:45:00,334.5,100.584,14.2,14.7,0.0,0.0
2025-11-07 07:45:00,321.1,100.584,13.8,12.2,0.0,0.0
2025-11-05 13:30:00,326.2,106.68,13.4,15.1,0.2,0.0
2025-11-05 23:30:00,336.5,210.312,14.9,16.8,0.0,280.0
2025-11-04 12:45:00,331.0,103.632,13.7,11.9,0.0,0.0
2025-11-06 03:15:00,329.7,118.872,14.3,14.7,0.0,0.0
2025-11-06 17:45:00,323.6,100.584,14.1,15.6,0.0,186.0
2025-11-06 00:15:00,333.0,179.832,14.5,15.6,0.0,180.0
2025-11-06 01:30:00,330.2,143.256,14.3,15.0,0.075,22.0
2025-11-05 03:15:00,336.9,97.536,14.4,15.7,0.0,0.0
2025-11-06 10:15:00,323.7,100.584,14.2,12.4,0.0,0.0
2025-11-06 11:00:00,323.9,100.584,14.2,11.6,0.0,0.0
2025-11-06 21:15:00,327.1,97.536,14.5,18.7,0.0,435.0
2025-11-06 10:00:00,323.9,103.632,14.2,12.4,0.0,0.0
2025-11-06 16:30:00,322.9,103.632,14.0,14.1,0.0,47.0
2025-11-05 12:30:00,327.7,100.584,13.5,15.1,0.0,0.0
2025-11-05 14:45:00,330.4,259.08,14.0,13.2,0.525,0.0
2025-11-03 22:45:00,332.1,100.584,13.9,17.6,0.0,513.0
2025-11-06 00:45:00,330.6,161.544,14.3,15.6,0.0,180.0
2025-11-07 06:15:00,322.0,97.536,13.9,12.3,0.0,0.0
2025-11-07 19:45:00,323.0,97.536,14.2,16.5,0.0,216.0
2025-11-04 20:00:00,336.1,97.536,14.4,19.4,0.0,517.0
2025-11-04 11:30:00,329.9,103.632,13.6,11.4,0.0,0.0
2025-11-07 07:00:00,321.4,97.536,13.8,12.2,0.0,0.0
2025-11-05 18:45:00,327.3,137.16,13.7,16.5,0.05,185.0
2025-11-07 09:15:00,320.3,97.536,13.7,12.1,0.0,0.0
2025-11-07 10:00:00,319.8,97.536,13.6,11.9,0.0,0.0
2025-11-06 04:15:00,329.3,115.824,14.2,14.5,0.0,0.0
2025-11-05 13:45:00,326.0,106.68,13.4,15.1,0.2,0.0
2025-11-05 07:00:00,334.4,100.584,14.2,14.6,0.0,0.0
2025-11-06 05:30:00,328.9,109.728,14.3,14.5,0.0,0.0
2025-11-07 07:30:00,321.1,100.584,13.8,12.2,0.0,0.0
2025-11-03 22:00:00,332.0,100.584,13.9,17.6,0.0,513.0
2025-11-05 07:30:00,333.7,97.536,14.2,14.6,0.0,0.0
2025-11-06 14:00:00,323.7,100.584,14.1,13.0,0.0,0.0
2025-11-04 07:00:00,330.5,100.584,13.7,11.6,0.0,0.0
2025-11-05 22:15:00,328.6,112.776,13.9,17.1,0.025,352.0
2025-11-04 08:45:00,330.3,100.584,13.6,11.8,0.0,0.0
2025-11-06 13:30:00,324.0,100.584,14.2,12.9,0.0,0.0
2025-11-05 02:30:00,338.4,97.536,14.6,15.4,0.0,0.0
2025-11-05 23:15:00,331.4,192.024,14.3,16.8,0.0,280.0
2025-11-06 18:15:00,324.1,100.584,14.2,16.7,0.025,297.0
2025-11-07 13:00:00,317.8,100.584,13.4,12.1,0.0,0.0
2025-11-04 18:45:00,333.2,100.584,14.1,17.6,0.0,357.0
2025-11-04 00:30:00,332.3,100.584,13.9,15.6,0.0,234.0
2025-11-06 05:45:00,328.5,109.728,14.3,14.5,0.0,0.0
2025-11-07 08:30:00,320.7,97.536,13.8,12.2,0.0,0.0
2025-11-06 19:45:00,325.8,97.536,14.4,17.9,0.025,405.0
2025-11-07 04:15:00,323.6,97.536,14.1,12.4,0.0,0.0
2025-11-06 13:00:00,324.3,100.584,14.2,12.9,0.0,0.0
2025-11-04 02:30:00,330.7,97.536,13.7,12.6,0.0,0.0
2025-11-04 14:30:00,330.9,100.584,13.7,11.5,0.0,0.0
2025-11-05 20:30:00,328.1,115.824,13.8,16.1,0.15,161.0
2025-11-05 08:45:00,332.1,97.536,14.0,14.6,0.0,0.0
2025-11-05 17:15:00,326.2,161.544,13.5,14.8,0.05,64.0
2025-11-04 01:00:00,332.1,97.536,13.9,13.8,0.0,69.0
2025-11-04 10:00:00,329.8,100.584,13.6,11.7,0.0,0.0
