uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
0251fe6e-731b-41a8-9b70-f524e95620d4,SCNF010,2025-11-14 21:30:00,388.0,584.7,20.1,4.397,,
032cc815-9355-48d9-a1bc-91bf2dec010d,SCNF010,2025-11-15 18:30:00,387.8,549.3,19.8,4.321,,
034d0fd3-9a77-4f1e-91b0-c7856a290de8,SCNF010,2025-11-12 03:30:00,368.7,616.7,20.5,4.154,,
041b71e9-e5e8-4a68-a08b-6375f669b769,SCNF010,2025-11-13 17:15:00,733.5,1277.5,17.1,4.169,,
05331b0e-666f-4e92-bd28-3dac29c1be00,SCNF010,2025-11-13 22:45:00,1317.5,830.0,18.0,4.23,,
05b1ef77-282b-46f1-83a9-db4c6950f458,SCNF010,2025-11-13 13:00:00,382.7,714.8,20.7,4.139,,
05f87db2-3cf0-4f72-845f-45edf6a1bd7e,SCNF010,2025-11-12 01:15:00,394.7,615.2,20.6,4.169,,
06ef9592-183c-4e9f-97f5-5103e026371e,SCNF010,2025-11-11 22:30:00,392.2,634.8,20.7,4.26,,
072768c4-51a2-4b4e-aa03-0d81a1e53c91,SCNF010,2025-11-12 08:00:00,390.7,620.8,20.6,4.154,,
0730a0f1-c59c-4734-b9af-a776e574648f,SCNF010,2025-11-12 11:30:00,343.3,629.2,20.4,4.139,,
07382129-8a48-4504-808e-d5af7a622fa9,SCNF010,2025-11-15 11:15:00,385.5,558.8,19.85,4.139,,
07785e47-9ed2-4324-bd22-e56d6dda5c6b,SCNF010,2025-11-15 13:45:00,386.3,566.0,19.8,4.139,,
08b7e43b-a532-496c-a008-36a4da2d99f8,SCNF010,2025-11-13 10:30:00,381.0,626.3,20.8,4.154,,
08caca0f-f72d-43f3-975e-0a718e4a5774,SCNF010,2025-11-14 13:15:00,373.3,530.7,19.8,4.139,,
