DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-12 22:30:00,296.0,286.512,15.42,18.5,0.0,175.0
2025-11-14 18:30:00,179.4,301.752,16.06,14.2,0.0,246.0
2025-11-12 01:30:00,291.7,283.464,15.51,15.2,0.0,27.0
2025-11-13 09:45:00,299.7,286.512,15.62,17.4,0.0,0.0
2025-11-14 20:00:00,184.3,301.752,16.0,15.8,0.0,284.0
2025-11-13 05:30:00,298.4,286.512,15.56,16.6,0.0,0.0
2025-11-11 23:45:00,291.1,283.464,15.43,19.8,0.0,258.0
2025-11-15 05:15:00,214.2,295.656,15.97,11.6,0.0,0.0
2025-11-14 19:15:00,181.8,301.752,15.99,14.9,0.025,212.0
2025-11-14 21:15:00,188.6,301.752,15.96,16.4,0.0,331.0
2025-11-15 20:00:00,238.1,292.608,15.45,16.2,0.0,277.0
2025-11-12 16:30:00,295.2,283.464,15.43,13.5,0.0,21.0
2025-11-13 13:15:00,301.6,295.656,15.59,16.4,0.175,0.0
2025-11-13 17:00:00,149.6,643.128,16.16,15.9,0.675,47.0
2025-11-14 06:15:00,131.6,316.992,16.3,13.3,0.0,0.0
2025-11-13 21:45:00,100.6,484.63200000000006,16.22,13.9,0.525,46.0
2025-11-13 20:30:00,97.5,469.39200000000005,16.23,15.2,0.975,47.0
2025-11-15 14:15:00,231.0,292.608,15.78,11.0,0.0,0.0
2025-11-12 10:15:00,294.1,283.464,15.48,12.3,0.0,0.0
2025-11-15 06:30:00,217.2,292.608,15.98,11.6,0.0,0.0
2025-11-15 05:45:00,215.5,295.656,16.0,11.6,0.0,0.0
2025-11-15 18:45:00,236.7,292.608,15.64,15.1,0.0,287.0
2025-11-12 04:15:00,293.1,283.464,15.53,12.5,0.0,0.0
2025-11-12 20:45:00,295.6,283.464,15.46,18.0,0.0,285.0
2025-11-12 00:00:00,291.1,280.416,15.68,17.5,0.0,149.0
2025-11-13 02:45:00,297.6,283.464,15.61,17.5,0.0,0.0
2025-11-13 21:15:00,98.9,469.39200000000005,16.2,13.9,0.525,46.0
2025-11-12 03:30:00,292.9,283.464,15.4,13.0,0.0,0.0
2025-11-14 22:00:00,191.2,298.704,15.96,16.9,0.025,441.0
2025-11-11 21:30:00,290.1,283.464,15.48,22.0,0.0,432.0
2025-11-14 10:00:00,146.2,310.896,16.2,12.2,0.0,0.0
2025-11-12 12:45:00,294.6,283.464,15.59,13.5,0.0,0.0
2025-11-14 20:45:00,186.9,301.752,15.93,15.8,0.0,284.0
2025-11-14 04:30:00,126.1,323.088,16.34,13.1,0.025,0.0
2025-11-12 19:45:00,295.3,286.512,15.39,17.4,0.0,298.0
2025-11-12 06:00:00,293.2,283.464,15.68,12.1,0.0,0.0
2025-11-11 21:45:00,290.1,283.464,15.4,22.0,0.0,432.0
2025-11-14 23:45:00,197.1,298.704,15.95,16.7,0.0,281.0
2025-11-15 08:00:00,220.6,295.656,15.93,10.6,0.0,0.0
2025-11-12 06:30:00,293.6,283.464,15.56,12.1,0.0,0.0
2025-11-14 02:45:00,120.8,329.184,16.28,13.8,0.025,0.0
2025-11-15 04:30:00,212.0,295.656,15.82,12.0,0.0,0.0
2025-11-14 07:15:00,135.7,313.944,16.26,13.2,0.0,0.0
2025-11-14 13:00:00,158.5,304.8,16.1,11.0,0.025,0.0
2025-11-14 15:00:00,166.8,304.8,16.1,10.3,0.025,0.0
2025-11-14 17:00:00,174.4,301.752,16.01,14.0,0.0,167.0
2025-11-12 14:30:00,295.0,283.464,15.56,13.0,0.0,0.0
2025-11-11 21:00:00,289.9,283.464,15.47,22.0,0.0,432.0
2025-11-13 13:30:00,301.5,295.656,15.52,16.4,0.175,0.0
2025-11-12 14:15:00,294.6,286.512,15.47,13.0,0.0,0.0
2025-11-13 11:15:00,300.0,286.512,15.6,17.2,0.0,0.0
2025-11-12 15:00:00,294.6,283.464,15.41,13.0,0.0,0.0
2025-11-14 04:45:00,127.0,323.088,16.29,13.1,0.025,0.0
2025-11-14 09:45:00,145.3,307.848,16.13,12.5,0.025,0.0
2025-11-14 13:30:00,160.5,304.8,16.06,11.0,0.025,0.0
2025-11-14 12:30:00,156.4,304.8,16.04,12.1,0.025,0.0
2025-11-13 20:15:00,97.4,509.016,16.28,15.2,0.975,47.0
2025-11-15 02:45:00,207.0,295.656,15.97,13.2,0.0,0.0
2025-11-14 11:15:00,151.3,307.848,16.21,12.0,0.0,0.0
2025-11-14 10:30:00,148.2,307.848,16.18,12.2,0.0,0.0
2025-11-15 15:15:00,232.2,292.608,15.84,10.6,0.0,0.0
2025-11-12 14:00:00,294.6,286.512,15.48,13.0,0.0,0.0
2025-11-12 02:45:00,292.6,283.464,15.44,13.5,0.0,0.0
2025-11-12 03:45:00,292.9,283.464,15.49,13.0,0.0,0.0
2025-11-12 04:00:00,293.0,283.464,15.57,12.5,0.0,0.0
2025-11-15 08:15:00,221.1,292.608,16.02,10.6,0.0,0.0
2025-11-12 19:00:00,295.3,286.512,15.44,17.4,0.0,298.0
2025-11-13 09:00:00,299.5,286.512,15.57,17.4,0.0,0.0
2025-11-12 06:45:00,293.7,283.464,15.56,12.1,0.0,0.0
2025-11-11 23:15:00,290.6,283.464,15.4,19.8,0.0,258.0
2025-11-13 11:45:00,300.2,286.512,15.72,17.2,0.0,0.0
2025-11-12 17:30:00,295.3,286.512,15.53,14.8,0.0,117.0
2025-11-14 01:00:00,115.6,347.472,16.42,14.2,0.025,9.0
2025-11-12 05:45:00,293.5,283.464,15.64,12.5,0.0,0.0
2025-11-12 01:45:00,291.8,283.464,15.58,15.2,0.0,27.0
2025-11-13 00:30:00,296.8,286.512,15.54,18.4,0.0,110.0
2025-11-15 13:15:00,229.5,292.608,15.78,11.4,0.0,0.0
2025-11-12 06:15:00,293.5,283.464,15.47,12.1,0.0,0.0
2025-11-12 00:30:00,291.3,286.512,15.52,17.5,0.0,149.0
2025-11-14 15:45:00,169.6,301.752,16.05,10.3,0.025,0.0
2025-11-15 00:15:00,198.8,298.704,15.89,14.8,0.0,169.0
2025-11-14 06:30:00,133.0,316.992,16.28,13.3,0.0,0.0
2025-11-13 02:15:00,297.4,283.464,15.52,17.5,0.0,0.0
2025-11-12 20:15:00,295.5,286.512,15.52,18.0,0.0,285.0
2025-11-12 09:45:00,294.2,286.512,15.43,12.2,0.0,0.0
2025-11-14 07:45:00,137.6,313.944,16.29,13.2,0.0,0.0
2025-11-15 16:30:00,233.7,292.608,15.62,11.9,0.0,64.0
2025-11-13 00:15:00,296.7,286.512,15.65,18.4,0.0,110.0
2025-11-15 04:00:00,210.6,295.656,16.02,12.0,0.0,0.0
2025-11-11 23:00:00,290.7,280.416,15.53,19.8,0.0,258.0
2025-11-14 06:00:00,131.0,316.992,16.31,13.3,0.0,0.0
2025-11-15 16:00:00,233.1,292.608,15.63,11.9,0.0,64.0
2025-11-15 03:00:00,207.6,295.656,16.07,12.6,0.0,0.0
2025-11-12 11:15:00,294.5,283.464,15.5,12.6,0.0,0.0
2025-11-14 02:15:00,119.2,335.28000000000003,16.3,13.8,0.025,0.0
2025-11-15 18:15:00,235.9,292.608,15.65,15.1,0.0,287.0
2025-11-15 09:45:00,224.0,295.656,15.85,10.5,0.0,0.0
2025-11-14 01:45:00,117.8,341.37600000000003,16.32,14.2,0.025,9.0
2025-11-15 02:15:00,205.3,295.656,16.03,13.2,0.0,0.0
2025-11-14 03:45:00,123.7,326.136,16.31,13.2,0.075,0.0
2025-11-14 00:00:00,112.1,359.664,16.4,14.4,0.025,138.0
2025-11-14 08:30:00,140.5,313.944,16.19,12.9,0.025,0.0
2025-11-13 22:00:00,101.2,469.39200000000005,16.34,13.8,0.425,37.0
2025-11-12 00:45:00,291.4,283.464,15.35,17.5,0.0,149.0
2025-11-14 12:15:00,155.4,304.8,16.2,12.1,0.025,0.0
2025-11-12 04:45:00,293.2,283.464,15.53,12.5,0.0,0.0
2025-11-12 23:45:00,296.3,283.464,15.37,18.8,0.0,148.0
2025-11-15 15:00:00,231.8,292.608,15.69,10.6,0.0,0.0
2025-11-14 20:15:00,185.3,301.752,15.92,15.8,0.0,284.0
2025-11-12 09:15:00,293.8,283.464,15.5,12.2,0.0,0.0
2025-11-13 05:00:00,298.4,286.512,15.59,16.6,0.0,0.0
2025-11-14 10:45:00,149.2,307.848,16.22,12.2,0.0,0.0
2025-11-13 16:45:00,194.8,646.176,16.22,15.5,1.55,4.0
2025-11-14 09:30:00,144.3,310.896,16.28,12.5,0.025,0.0
2025-11-14 05:15:00,128.5,320.04,16.36,13.1,0.0,0.0
2025-11-12 13:45:00,294.7,286.512,15.67,13.7,0.0,0.0
2025-11-14 03:00:00,121.5,329.184,16.29,13.2,0.075,0.0
2025-11-13 10:00:00,299.9,286.512,15.68,17.0,0.0,0.0
2025-11-14 04:15:00,125.4,323.088,16.29,13.1,0.025,0.0
2025-11-15 14:00:00,230.6,292.608,15.85,11.0,0.0,0.0
2025-11-13 10:45:00,300.0,286.512,15.6,17.0,0.0,0.0
2025-11-13 20:00:00,98.2,560.832,16.31,15.2,0.975,47.0
2025-11-12 21:15:00,295.7,286.512,15.54,18.5,0.0,305.0
2025-11-13 14:30:00,301.2,320.04,15.71,15.8,0.375,0.0
2025-11-15 12:45:00,228.8,292.608,15.86,11.2,0.0,0.0
2025-11-13 18:45:00,109.2,515.112,16.28,15.9,0.65,67.0
2025-11-14 00:30:00,114.0,353.568,16.29,14.4,0.025,138.0
2025-11-13 20:45:00,98.1,445.008,16.26,15.2,0.975,47.0
2025-11-12 03:15:00,292.8,283.464,15.46,13.0,0.0,0.0
2025-11-12 17:00:00,294.9,286.512,15.47,14.8,0.0,117.0
2025-11-15 06:45:00,217.9,295.656,15.96,11.6,0.0,0.0
2025-11-15 06:00:00,215.9,295.656,16.0,11.6,0.0,0.0
2025-11-13 23:15:00,108.0,377.952,16.37,14.5,0.025,67.0
2025-11-13 03:45:00,298.0,283.464,15.57,17.0,0.0,0.0
2025-11-14 15:15:00,167.8,301.752,16.16,10.3,0.025,0.0
2025-11-13 23:30:00,109.4,371.856,16.42,14.5,0.025,67.0
2025-11-13 03:00:00,297.7,286.512,15.46,17.0,0.0,0.0
