DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-14 21:30:00,388.0,584.7,20.1,16.4,0.0,331.0
2025-11-15 18:30:00,387.8,549.3,19.8,15.1,0.0,287.0
2025-11-12 03:30:00,368.7,616.7,20.5,13.0,0.0,0.0
2025-11-13 17:15:00,733.5,1277.5,17.1,15.9,0.675,47.0
2025-11-13 22:45:00,1317.5,830.0,18.0,13.8,0.425,37.0
2025-11-13 13:00:00,382.7,714.8,20.7,16.4,0.175,0.0
2025-11-12 01:15:00,394.7,615.2,20.6,15.2,0.0,27.0
2025-11-11 22:30:00,392.2,634.8,20.7,21.7,0.0,358.0
2025-11-12 08:00:00,390.7,620.8,20.6,12.2,0.0,0.0
2025-11-12 11:30:00,343.3,629.2,20.4,12.6,0.0,0.0
2025-11-15 11:15:00,385.5,558.8,19.85,11.0,0.0,0.0
2025-11-15 13:45:00,386.3,566.0,19.8,11.4,0.0,0.0
2025-11-13 10:30:00,381.0,626.3,20.8,17.0,0.0,0.0
2025-11-14 13:15:00,373.3,530.7,19.8,11.0,0.025,0.0
