DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2025-11-14 17:45:00,289.5,124.968,14.3,14.0,0.0,167.0
2025-11-15 13:15:00,294.8,112.776,13.6,11.4,0.0,0.0
2025-11-14 14:30:00,290.9,124.968,14.4,10.8,0.075,0.0
2025-11-14 11:00:00,299.2,131.064,14.6,12.0,0.0,0.0
2025-11-12 05:45:00,312.5,97.536,14.3,12.5,0.0,0.0
2025-11-15 13:00:00,294.7,112.776,13.6,11.4,0.0,0.0
2025-11-12 03:00:00,315.0,97.536,14.6,13.0,0.0,0.0
2025-11-12 10:15:00,311.7,97.536,14.2,12.3,0.0,0.0
2025-11-15 19:30:00,304.6,112.776,13.8,16.4,0.0,375.0
2025-11-14 13:15:00,291.5,128.016,14.5,11.0,0.025,0.0
2025-11-15 05:30:00,291.1,115.824,14.4,11.6,0.0,0.0
2025-11-13 07:00:00,316.4,97.536,14.7,16.9,0.025,0.0
2025-11-15 15:00:00,296.9,112.776,13.5,10.6,0.0,0.0
2025-11-14 18:00:00,289.5,124.968,14.4,14.2,0.0,246.0
2025-11-12 20:45:00,312.2,97.536,14.2,18.0,0.0,285.0
2025-11-15 03:45:00,292.6,115.824,14.6,12.6,0.0,0.0
2025-11-14 11:30:00,296.5,131.064,14.6,12.0,0.0,0.0
2025-11-13 00:30:00,314.6,97.536,14.5,18.4,0.0,110.0
2025-11-12 23:00:00,314.1,97.536,14.4,18.8,0.0,148.0
2025-11-12 09:00:00,312.3,97.536,14.3,12.2,0.0,0.0
2025-11-12 13:30:00,311.0,97.536,14.1,13.7,0.0,0.0
2025-11-12 11:15:00,311.4,97.536,14.1,12.6,0.0,0.0
2025-11-14 04:00:00,317.7,152.4,14.7,13.1,0.025,0.0
2025-11-13 17:45:00,312.3,399.288,14.1,15.9,0.675,47.0
2025-11-15 16:30:00,298.9,112.776,13.5,11.9,0.0,64.0
2025-11-15 19:45:00,304.9,112.776,13.8,16.4,0.0,375.0
2025-11-14 17:30:00,289.9,121.92000000000002,14.3,14.0,0.0,167.0
2025-11-13 04:30:00,315.9,97.536,14.6,16.8,0.0,0.0
2025-11-13 07:45:00,316.6,97.536,14.7,16.9,0.025,0.0
2025-11-15 11:30:00,293.3,112.776,13.8,11.0,0.0,0.0
2025-11-14 19:30:00,291.0,121.92000000000002,14.6,14.9,0.025,212.0
2025-11-13 01:00:00,314.9,97.536,14.6,17.5,0.0,8.0
2025-11-14 14:00:00,291.3,128.016,14.5,10.8,0.075,0.0
2025-11-14 09:30:00,301.9,134.112,14.6,12.5,0.025,0.0
2025-11-14 13:00:00,291.7,128.016,14.6,11.0,0.025,0.0
2025-11-14 10:15:00,302.3,131.064,14.6,12.2,0.0,0.0
2025-11-15 17:45:00,301.5,112.776,13.6,13.7,0.0,181.0
2025-11-13 23:15:00,314.8,210.312,14.3,14.5,0.025,67.0
2025-11-13 20:45:00,313.0,271.272,14.0,15.2,0.975,47.0
2025-11-12 19:30:00,311.0,97.536,14.1,17.4,0.0,298.0
2025-11-14 18:30:00,289.8,121.92000000000002,14.4,14.2,0.0,246.0
2025-11-13 15:00:00,321.9,371.856,15.4,15.6,1.975,0.0
2025-11-15 17:30:00,301.1,112.776,13.6,13.7,0.0,181.0
2025-11-12 05:15:00,312.6,97.536,14.3,12.5,0.0,0.0
2025-11-13 13:15:00,315.6,115.824,14.6,16.4,0.175,0.0
2025-11-12 21:45:00,313.0,97.536,14.3,18.5,0.0,305.0
2025-11-12 08:15:00,312.3,97.536,14.3,12.2,0.0,0.0
2025-11-15 01:30:00,293.8,115.824,14.8,14.0,0.0,32.0
2025-11-12 18:45:00,310.5,97.536,14.0,16.1,0.0,203.0
2025-11-14 21:30:00,293.7,118.872,14.9,16.4,0.0,331.0
2025-11-13 06:30:00,316.3,97.536,14.7,16.7,0.05,0.0
2025-11-14 21:45:00,294.0,118.872,14.9,16.4,0.0,331.0
2025-11-15 16:00:00,298.4,112.776,13.5,11.9,0.0,64.0
2025-11-14 18:45:00,289.9,121.92000000000002,14.5,14.2,0.0,246.0
2025-11-13 06:15:00,316.3,100.584,14.7,16.7,0.05,0.0
2025-11-15 15:30:00,297.9,112.776,13.5,10.6,0.0,0.0
2025-11-12 20:00:00,311.7,97.536,14.1,18.0,0.0,285.0
2025-11-13 10:15:00,315.6,97.536,14.6,17.0,0.0,0.0
2025-11-13 03:00:00,315.2,97.536,14.6,17.0,0.0,0.0
2025-11-13 11:45:00,315.5,97.536,14.6,17.2,0.0,0.0
2025-11-12 08:45:00,312.3,97.536,14.3,12.2,0.0,0.0
2025-11-14 15:30:00,290.3,128.016,14.3,10.3,0.025,0.0
2025-11-14 01:15:00,318.1,173.736,14.7,14.2,0.025,9.0
2025-11-13 19:45:00,311.7,377.952,13.9,16.0,0.725,80.0
2025-11-14 11:45:00,295.3,131.064,14.6,12.0,0.0,0.0
2025-11-13 08:00:00,316.5,97.536,14.7,17.2,0.0,0.0
2025-11-15 19:15:00,304.2,112.776,13.7,16.4,0.0,375.0
2025-11-14 12:30:00,292.3,128.016,14.6,12.1,0.025,0.0
2025-11-15 18:00:00,301.8,112.776,13.6,15.1,0.0,287.0
2025-11-14 08:30:00,301.4,137.16,14.6,12.9,0.025,0.0
2025-11-12 01:00:00,318.3,97.536,15.0,15.2,0.0,27.0
2025-11-13 02:00:00,315.2,97.536,14.6,17.5,0.0,0.0
2025-11-11 20:30:00,318.1,94.488,15.0,21.1,0.0,392.0
2025-11-14 15:00:00,290.3,124.968,14.3,10.3,0.025,0.0
2025-11-14 07:15:00,301.0,140.208,14.6,13.2,0.0,0.0
2025-11-14 22:15:00,294.4,118.872,14.9,16.9,0.025,441.0
2025-11-14 23:30:00,294.3,118.872,14.9,16.7,0.0,281.0
2025-11-14 09:15:00,301.9,134.112,14.6,12.5,0.025,0.0
2025-11-15 17:00:00,299.9,112.776,13.5,13.7,0.0,181.0
2025-11-11 21:00:00,318.8,97.536,15.1,22.0,0.0,432.0
2025-11-14 03:30:00,317.7,152.4,14.7,13.2,0.075,0.0
2025-11-13 09:30:00,315.8,97.536,14.6,17.4,0.0,0.0
2025-11-12 23:30:00,314.1,97.536,14.5,18.8,0.0,148.0
2025-11-14 19:45:00,291.4,121.92000000000002,14.6,14.9,0.025,212.0
2025-11-13 20:00:00,311.7,344.424,13.9,15.2,0.975,47.0
2025-11-15 18:45:00,303.1,112.776,13.7,15.1,0.0,287.0
2025-11-13 18:00:00,312.6,350.52,14.1,15.9,0.65,67.0
2025-11-12 07:15:00,311.9,100.584,14.2,12.2,0.0,0.0
2025-11-12 16:30:00,309.8,97.536,13.9,13.5,0.0,21.0
2025-11-11 23:45:00,319.6,97.536,15.2,19.8,0.0,258.0
2025-11-12 12:00:00,311.3,97.536,14.1,13.5,0.0,0.0
2025-11-12 03:15:00,314.8,97.536,14.6,13.0,0.0,0.0
2025-11-13 08:30:00,316.3,97.536,14.6,17.2,0.0,0.0
2025-11-13 09:00:00,316.2,97.536,14.6,17.4,0.0,0.0
2025-11-13 02:15:00,315.1,97.536,14.6,17.5,0.0,0.0
2025-11-15 00:45:00,294.3,115.824,14.8,14.8,0.0,169.0
2025-11-14 05:30:00,309.0,146.304,14.7,13.1,0.0,0.0
2025-11-13 07:30:00,316.7,97.536,14.7,16.9,0.025,0.0
2025-11-12 03:30:00,314.2,97.536,14.5,13.0,0.0,0.0
2025-11-12 22:15:00,313.6,100.584,14.4,18.5,0.0,175.0
2025-11-12 01:30:00,317.5,97.536,14.9,15.2,0.0,27.0
2025-11-12 16:00:00,309.9,97.536,13.9,13.5,0.0,21.0
2025-11-12 11:30:00,311.4,97.536,14.1,12.6,0.0,0.0
2025-11-15 19:00:00,303.5,112.776,13.7,16.4,0.0,375.0
2025-11-12 16:15:00,309.9,97.536,13.9,13.5,0.0,21.0
2025-11-13 17:30:00,311.5,420.624,14.0,15.9,0.675,47.0
2025-11-13 00:00:00,314.6,97.536,14.5,18.4,0.0,110.0
2025-11-14 01:00:00,318.0,179.832,14.7,14.2,0.025,9.0
2025-11-12 05:00:00,312.6,97.536,14.3,12.5,0.0,0.0
2025-11-13 16:00:00,310.9,435.864,14.1,15.5,1.55,4.0
2025-11-12 00:30:00,319.1,97.536,15.1,17.5,0.0,149.0
2025-11-12 22:30:00,313.7,100.584,14.4,18.5,0.0,175.0
2025-11-15 08:15:00,290.3,112.776,14.2,10.6,0.0,0.0
2025-11-12 06:30:00,312.2,97.536,14.3,12.1,0.0,0.0
2025-11-12 12:30:00,311.3,97.536,14.1,13.5,0.0,0.0
2025-11-13 01:45:00,315.1,97.536,14.6,17.5,0.0,8.0
2025-11-11 23:00:00,319.5,97.536,15.2,19.8,0.0,258.0
2025-11-14 10:30:00,302.6,131.064,14.6,12.2,0.0,0.0
2025-11-13 20:15:00,312.0,307.848,14.0,15.2,0.975,47.0
2025-11-14 22:45:00,294.6,118.872,14.9,16.9,0.025,441.0
2025-11-13 19:30:00,312.3,448.056,14.0,16.0,0.725,80.0
2025-11-13 22:45:00,315.3,240.79200000000003,14.3,13.8,0.425,37.0
2025-11-14 08:00:00,300.7,137.16,14.6,12.9,0.025,0.0
2025-11-14 15:15:00,290.3,124.968,14.3,10.3,0.025,0.0
2025-11-12 13:15:00,311.0,97.536,14.1,13.7,0.0,0.0
2025-11-15 06:45:00,290.8,112.776,14.3,11.6,0.0,0.0
2025-11-13 09:45:00,315.8,97.536,14.6,17.4,0.0,0.0
2025-11-15 12:45:00,294.4,112.776,13.6,11.2,0.0,0.0
2025-11-14 20:30:00,292.3,121.92000000000002,14.7,15.8,0.0,284.0
2025-11-14 02:00:00,317.7,167.64,14.7,13.8,0.025,0.0
2025-11-13 03:15:00,315.6,97.536,14.6,17.0,0.0,0.0
2025-11-15 08:30:00,290.3,112.776,14.1,10.6,0.0,0.0
2025-11-15 12:00:00,294.0,112.776,13.7,11.2,0.0,0.0
2025-11-15 07:45:00,290.6,112.776,14.2,11.1,0.0,0.0
2025-11-15 12:15:00,294.3,112.776,13.7,11.2,0.0,0.0
2025-11-12 07:30:00,312.2,100.584,14.2,12.2,0.0,0.0
2025-11-14 22:30:00,294.4,118.872,14.9,16.9,0.025,441.0
2025-11-13 06:00:00,316.3,97.536,14.6,16.7,0.05,0.0
2025-11-13 18:45:00,313.4,396.24,14.2,15.9,0.65,67.0
2025-11-14 12:15:00,292.9,128.016,14.6,12.1,0.025,0.0
2025-11-15 09:00:00,290.2,112.776,14.1,10.5,0.0,0.0
2025-11-12 04:15:00,313.3,97.536,14.4,12.5,0.0,0.0
2025-11-15 04:45:00,291.6,115.824,14.4,12.0,0.0,0.0
2025-11-12 09:45:00,312.0,97.536,14.2,12.2,0.0,0.0
2025-11-14 11:15:00,298.4,131.064,14.6,12.0,0.0,0.0
2025-11-12 22:00:00,313.3,97.536,14.3,18.5,0.0,175.0
2025-11-15 05:45:00,291.0,115.824,14.3,11.6,0.0,0.0
2025-11-12 17:30:00,309.8,97.536,13.9,14.8,0.0,117.0
2025-11-14 22:00:00,294.3,118.872,14.9,16.9,0.025,441.0
2025-11-15 10:30:00,291.3,112.776,13.9,10.7,0.0,0.0
2025-11-12 19:15:00,310.7,97.536,14.0,17.4,0.0,298.0
2025-11-14 16:15:00,290.5,124.968,14.3,11.7,0.0,58.0
2025-11-14 18:15:00,289.7,121.92000000000002,14.4,14.2,0.0,246.0
2025-11-14 16:00:00,290.6,124.968,14.3,11.7,0.0,58.0
2025-11-12 10:30:00,311.6,97.536,14.2,12.3,0.0,0.0
2025-11-13 21:45:00,314.6,298.704,14.2,13.9,0.525,46.0
2025-11-15 13:45:00,295.5,112.776,13.6,11.4,0.0,0.0
2025-11-15 02:15:00,293.2,115.824,14.7,13.2,0.0,0.0
2025-11-12 10:00:00,311.7,97.536,14.2,12.3,0.0,0.0
2025-11-12 13:45:00,310.9,97.536,14.1,13.7,0.0,0.0
2025-11-14 20:15:00,292.0,121.92000000000002,14.7,15.8,0.0,284.0
2025-11-15 00:00:00,294.4,118.872,14.9,14.8,0.0,169.0
2025-11-12 04:30:00,313.1,97.536,14.3,12.5,0.0,0.0
2025-11-12 11:45:00,311.4,97.536,14.1,12.6,0.0,0.0
2025-11-14 19:00:00,289.8,121.92000000000002,14.5,14.9,0.025,212.0
2025-11-14 06:30:00,301.4,140.208,14.7,13.3,0.0,0.0
2025-11-14 10:45:00,302.2,131.064,14.6,12.2,0.0,0.0
2025-11-13 10:30:00,315.6,97.536,14.6,17.0,0.0,0.0
2025-11-14 14:15:00,290.9,124.968,14.4,10.8,0.075,0.0
2025-11-13 15:45:00,311.5,344.424,14.1,15.6,1.975,0.0
2025-11-13 05:30:00,316.2,97.536,14.6,16.6,0.0,0.0
2025-11-14 12:45:00,292.2,128.016,14.6,12.1,0.025,0.0
2025-11-13 17:00:00,310.1,441.96,13.8,15.9,0.675,47.0
2025-11-14 05:45:00,306.5,143.256,14.7,13.1,0.0,0.0
2025-11-15 20:00:00,305.1,112.776,13.8,16.2,0.0,277.0
2025-11-14 05:00:00,314.0,146.304,14.7,13.1,0.0,0.0
2025-11-14 15:45:00,290.3,124.968,14.3,10.3,0.025,0.0
2025-11-14 07:45:00,300.8,137.16,14.6,13.2,0.0,0.0
2025-11-14 09:00:00,301.9,134.112,14.6,12.5,0.025,0.0
2025-11-14 19:15:00,290.3,121.92000000000002,14.5,14.9,0.025,212.0
2025-11-13 14:00:00,319.5,146.304,15.1,15.8,0.375,0.0
2025-11-14 23:15:00,294.4,118.872,14.9,16.7,0.0,281.0
2025-11-14 03:15:00,317.8,155.448,14.7,13.2,0.075,0.0
2025-11-11 23:30:00,319.3,97.536,15.2,19.8,0.0,258.0
2025-11-12 22:45:00,314.0,100.584,14.4,18.5,0.0,175.0
2025-11-14 00:00:00,316.2,195.072,14.4,14.4,0.025,138.0
2025-11-13 11:00:00,315.4,97.536,14.5,17.2,0.0,0.0
2025-11-14 07:00:00,301.0,140.208,14.6,13.2,0.0,0.0
2025-11-13 15:30:00,313.4,371.856,14.4,15.6,1.975,0.0
2025-11-13 16:30:00,313.1,463.2960000000001,13.8,15.5,1.55,4.0
2025-11-12 06:15:00,312.3,97.536,14.3,12.1,0.0,0.0
2025-11-15 06:15:00,291.1,115.824,14.3,11.6,0.0,0.0
2025-11-15 10:00:00,290.9,112.776,14.0,10.7,0.0,0.0
2025-11-13 15:15:00,316.3,405.384,14.8,15.6,1.975,0.0
2025-11-13 18:15:00,312.7,329.184,14.1,15.9,0.65,67.0
2025-11-15 14:15:00,296.3,112.776,13.6,11.0,0.0,0.0
2025-11-12 09:15:00,312.1,97.536,14.3,12.2,0.0,0.0
2025-11-13 21:15:00,315.3,335.28000000000003,14.3,13.9,0.525,46.0
2025-11-15 06:30:00,290.8,115.824,14.3,11.6,0.0,0.0
2025-11-15 03:00:00,293.0,115.824,14.6,12.6,0.0,0.0
2025-11-14 16:45:00,290.5,124.968,14.3,11.7,0.0,58.0
2025-11-14 00:15:00,316.9,188.976,14.5,14.4,0.025,138.0
2025-11-13 19:00:00,313.4,505.968,14.1,16.0,0.725,80.0
2025-11-13 01:15:00,315.1,97.536,14.6,17.5,0.0,8.0
2025-11-12 19:45:00,311.2,97.536,14.1,17.4,0.0,298.0
2025-11-15 08:45:00,290.2,112.776,14.1,10.6,0.0,0.0
2025-11-12 02:45:00,315.5,97.536,14.7,13.5,0.0,0.0
2025-11-12 13:00:00,311.1,97.536,14.1,13.7,0.0,0.0
2025-11-12 15:15:00,310.1,97.536,13.9,13.0,0.0,0.0
2025-11-15 15:15:00,297.5,112.776,13.5,10.6,0.0,0.0
2025-11-13 16:15:00,310.6,521.208,14.0,15.5,1.55,4.0
2025-11-12 12:45:00,311.1,97.536,14.1,13.5,0.0,0.0
2025-11-13 23:30:00,315.1,201.168,14.3,14.5,0.025,67.0
2025-11-15 00:30:00,294.3,115.824,14.9,14.8,0.0,169.0
2025-11-13 13:30:00,316.6,140.208,14.7,16.4,0.175,0.0
2025-11-13 11:30:00,315.3,97.536,14.5,17.2,0.0,0.0
2025-11-15 10:15:00,290.9,112.776,13.9,10.7,0.0,0.0
