DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-01-05 08:00:00,209.0,246.2,11.8,8.8,0.0,0.0
2026-01-05 08:15:00,211.0,243.2,11.7,8.8,0.0,0.0
2026-01-05 08:30:00,212.2,242.7,11.7,8.8,0.0,0.0
2026-01-05 08:45:00,214.2,242.2,11.7,8.8,0.0,0.0
2026-01-05 09:15:00,214.2,239.2,11.7,8.6,0.0,0.0
2026-01-05 09:30:00,216.5,239.2,11.7,8.6,0.0,0.0
2026-01-05 09:45:00,218.0,237.0,11.7,8.6,0.0,0.0
2026-01-05 10:00:00,217.5,237.7,11.7,8.7,0.075,0.0
2026-01-05 10:15:00,222.8,237.2,11.7,8.7,0.075,0.0
2026-01-05 10:30:00,219.2,236.7,11.62,8.7,0.075,0.0
2026-01-05 10:45:00,222.2,235.7,11.6,8.7,0.075,0.0
2026-01-05 11:00:00,222.3,233.8,11.6,8.9,0.025,0.0
2026-01-05 11:15:00,223.0,233.2,11.6,8.9,0.025,0.0
2026-01-05 11:30:00,224.8,232.2,11.6,8.9,0.025,0.0
2026-01-05 11:45:00,224.7,231.5,11.6,8.9,0.025,0.0
2026-01-05 12:15:00,226.3,230.7,11.6,9.4,0.3,0.0
2026-01-05 12:30:00,227.7,228.5,11.6,9.4,0.3,0.0
2026-01-05 12:45:00,227.3,230.7,11.6,9.4,0.3,0.0
2026-01-05 13:00:00,228.8,229.3,11.6,9.4,0.025,0.0
2026-01-05 13:15:00,229.7,229.8,11.6,9.4,0.025,0.0
2026-01-05 13:30:00,230.5,227.2,11.6,9.4,0.025,0.0
2026-01-05 13:45:00,232.0,226.5,11.6,9.4,0.025,0.0
2026-01-05 14:00:00,230.5,226.5,11.6,9.5,0.025,0.0
2026-01-05 14:15:00,231.3,226.5,11.6,9.5,0.025,0.0
2026-01-05 14:30:00,233.8,225.0,11.6,9.5,0.025,0.0
2026-01-05 14:45:00,231.5,224.0,11.6,9.5,0.025,0.0
2026-01-05 15:00:00,233.7,223.2,11.6,9.4,0.0,0.0
2026-01-05 15:15:00,235.0,222.5,11.6,9.4,0.0,0.0
