DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-01-05 08:00:00,497.0,413.8,13.98,8.8,0.0,0.0
2026-01-05 08:15:00,500.0,412.3,13.92,8.8,0.0,0.0
2026-01-05 08:30:00,498.0,410.3,13.98,8.8,0.0,0.0
2026-01-05 08:45:00,502.8,404.5,13.93,8.8,0.0,0.0
2026-01-05 09:00:00,505.3,402.3,13.92,8.6,0.0,0.0
2026-01-05 09:15:00,508.0,399.7,13.92,8.6,0.0,0.0
2026-01-05 09:30:00,510.5,406.0,13.9,8.6,0.0,0.0
2026-01-05 09:45:00,512.2,403.0,13.9,8.6,0.0,0.0
2026-01-05 10:00:00,511.2,403.5,13.9,8.7,0.075,0.0
2026-01-05 10:15:00,512.3,404.3,13.9,8.7,0.075,0.0
2026-01-05 10:30:00,513.2,403.2,13.88,8.7,0.075,0.0
2026-01-05 10:45:00,516.2,399.7,13.9,8.7,0.075,0.0
2026-01-05 11:00:00,518.0,393.5,13.9,8.9,0.025,0.0
2026-01-05 11:15:00,521.8,389.3,13.9,8.9,0.025,0.0
2026-01-05 11:30:00,520.8,388.7,13.9,8.9,0.025,0.0
2026-01-05 11:45:00,522.0,384.0,13.9,8.9,0.025,0.0
2026-01-05 12:00:00,520.2,383.5,13.9,9.4,0.3,0.0
2026-01-05 12:15:00,526.3,383.2,13.9,9.4,0.3,0.0
2026-01-05 12:30:00,528.5,381.8,13.9,9.4,0.3,0.0
2026-01-05 12:45:00,530.3,380.3,13.9,9.4,0.3,0.0
2026-01-05 13:00:00,531.5,379.2,13.9,9.4,0.025,0.0
2026-01-05 13:15:00,530.5,379.5,13.9,9.4,0.025,0.0
2026-01-05 13:30:00,531.2,376.7,13.9,9.4,0.025,0.0
2026-01-05 13:45:00,531.3,383.3,13.9,9.4,0.025,0.0
2026-01-05 14:00:00,529.7,388.7,13.9,9.5,0.025,0.0
2026-01-05 14:15:00,510.7,392.7,13.85,9.5,0.025,0.0
2026-01-05 14:30:00,499.0,385.3,13.73,9.5,0.025,0.0
2026-01-05 14:45:00,506.5,383.7,13.7,9.5,0.025,0.0
2026-01-05 15:00:00,511.5,381.3,13.7,9.4,0.0,0.0
2026-01-05 15:15:00,511.0,376.3,13.7,9.4,0.0,0.0
2026-01-05 15:30:00,513.2,374.8,13.72,9.4,0.0,0.0
2026-01-05 15:45:00,510.3,371.7,13.8,9.4,0.0,0.0
2026-01-05 16:00:00,506.2,371.0,13.8,9.5,0.025,5.0
2026-01-05 16:15:00,504.7,366.7,13.8,9.5,0.025,5.0
2026-01-05 16:30:00,505.2,367.7,13.8,9.5,0.025,5.0
2026-01-05 16:45:00,509.3,366.3,13.8,9.5,0.025,5.0
2026-01-05 17:00:00,511.7,363.7,13.8,10.5,0.0,53.0
2026-01-05 17:15:00,520.0,360.7,13.9,10.5,0.0,53.0
2026-01-05 17:30:00,516.7,359.0,13.9,10.5,0.0,53.0
2026-01-05 17:45:00,523.8,360.0,13.9,10.5,0.0,53.0
2026-01-05 18:00:00,529.3,360.5,13.9,12.1,0.0,158.0
2026-01-05 18:15:00,535.0,356.3,13.9,12.1,0.0,158.0
2026-01-05 18:30:00,536.7,361.0,13.9,12.1,0.0,158.0
2026-01-05 18:45:00,541.8,356.7,13.9,12.1,0.0,158.0
2026-01-05 19:00:00,543.7,352.7,13.9,12.1,0.1,196.0
2026-01-05 19:15:00,545.5,349.8,13.9,12.1,0.1,196.0
2026-01-05 19:30:00,544.0,346.8,13.98,12.1,0.1,196.0
2026-01-05 19:45:00,543.0,344.5,14.0,12.1,0.1,196.0
