uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
0252cf06-0c33-43c5-aea5-e4680ed047ec,north_fork_0,2026-03-20 07:00:00,618.5,202.2,16.8,4.169
51a95733-d424-422e-bc59-363278b2984f,north_fork_0,2026-03-20 07:15:00,619.3,201.7,16.8,4.169
d50ee157-5261-4c74-a3df-f0c863f4fad1,north_fork_0,2026-03-20 07:30:00,618.5,201.7,16.8,4.169
b22e3143-7e3d-46f3-a36e-fabe5effae55,north_fork_0,2026-03-20 07:45:00,618.3,201.3,16.78,4.169
f91b1598-0eab-455d-bb87-96bf64caaf92,north_fork_0,2026-03-20 08:00:00,619.0,202.2,16.7,4.169
066d8a14-6095-4c3f-a8bf-bd5886345b39,north_fork_0,2026-03-20 08:15:00,619.0,201.8,16.7,4.154
792173e3-b4cf-412b-9afa-3148bda40859,north_fork_0,2026-03-20 08:30:00,618.3,201.3,16.7,4.169
85e178f3-573f-40c4-98b6-a51d5e0f7e03,north_fork_0,2026-03-20 08:45:00,618.3,202.8,16.7,4.169
4fcffb47-f5a4-476f-8051-e34b6183742f,north_fork_0,2026-03-20 09:00:00,618.5,202.3,16.7,4.169
0d7e68bb-1ca1-4b8d-8104-5f0da8058f97,north_fork_0,2026-03-20 09:15:00,620.5,201.7,16.68,4.169
92ea9f65-19cc-463d-893a-a0b7279f25a3,north_fork_0,2026-03-20 09:30:00,616.5,201.3,16.6,4.154
f42647f1-6414-40eb-8e6d-23e03450f77b,north_fork_0,2026-03-20 09:45:00,617.7,201.2,16.6,4.169
9d3e9e18-79a5-4688-91ff-83aa2db9cfc9,north_fork_0,2026-03-20 10:00:00,617.5,202.2,16.6,4.169
74cda6e2-0721-4046-bd42-9582c14c4e9e,north_fork_0,2026-03-20 10:15:00,617.5,200.8,16.6,4.154
58e50902-d68a-4994-af34-87e96cf75c1c,north_fork_0,2026-03-20 10:30:00,618.0,201.3,16.6,4.169
16d3660c-fb25-41af-9785-25caf99da657,north_fork_0,2026-03-20 10:45:00,617.3,201.0,16.6,4.169
10a6aab8-dd62-46bf-b19b-484165b7a554,north_fork_0,2026-03-20 11:00:00,617.5,201.5,16.52,4.154
b71892a6-b138-432d-9c21-91596fe8730c,north_fork_0,2026-03-20 11:15:00,618.0,201.5,16.5,4.169
cbce5867-76e8-4abf-81a5-ce2d2c233e1e,north_fork_0,2026-03-20 11:30:00,618.0,200.8,16.5,4.169
78c14cdd-21d8-4331-80e4-d9cdcb045d8e,north_fork_0,2026-03-20 11:45:00,615.2,202.8,16.5,4.154
c0799ed9-13f7-4439-a207-13072596feb1,north_fork_0,2026-03-20 12:00:00,615.7,204.8,16.5,4.154
85173110-d353-4082-8c88-0c8e3cc20be1,north_fork_0,2026-03-20 12:15:00,614.8,205.8,16.5,4.154
73ccb163-87d4-4601-9221-34db96ba191c,north_fork_0,2026-03-20 12:30:00,615.3,204.5,16.5,4.169
f4bebf3a-813a-4b7a-a373-da1dbb5214b1,north_fork_0,2026-03-20 12:45:00,616.2,202.0,16.5,4.169
1a573ab4-87c4-413c-b8c8-fb36cfbdad3b,north_fork_0,2026-03-20 13:00:00,615.5,202.3,16.5,4.154
6319a36c-a52f-4285-8c75-885d36563fa8,north_fork_0,2026-03-20 13:15:00,614.5,204.2,16.5,4.154
fc92f743-8393-404c-9468-3bddbaed60e5,north_fork_0,2026-03-20 13:30:00,614.8,202.3,16.5,4.154
d6190f24-a453-40be-93ac-73466545c948,north_fork_0,2026-03-20 13:45:00,615.0,203.7,16.5,4.154
f423f39a-0a9f-4bb8-aea8-51cbf74bba2c,north_fork_0,2026-03-20 14:00:00,613.0,203.7,16.5,4.169
9fdb80de-fa38-4797-bf27-9dbadbe3d843,north_fork_0,2026-03-20 14:15:00,610.5,204.0,16.5,4.154
86f88d6a-08db-4718-9491-d4a1c79a83bc,north_fork_0,2026-03-20 14:30:00,607.3,204.3,16.52,4.154
2c4a1425-1d3d-4d48-9eeb-726b530d861a,north_fork_0,2026-03-20 14:45:00,605.3,204.0,16.6,4.154
