DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-03-21 09:30:00,333.4,307.848,13.31,14.1,0.0,0.0
2026-03-20 21:00:00,326.0,307.848,13.1,31.0,0.0,836.0
2026-03-21 03:00:00,336.1,304.8,13.11,21.9,0.0,4.0
2026-03-20 09:45:00,329.3,307.848,13.27,18.1,0.0,0.0
2026-03-20 23:30:00,332.4,304.8,13.06,31.3,0.0,679.0
2026-03-20 10:45:00,327.9,304.8,13.25,17.4,0.0,0.0
2026-03-21 01:15:00,335.6,304.8,13.07,30.0,0.0,320.0
2026-03-21 13:30:00,331.9,304.8,13.35,13.0,0.0,0.0
2026-03-21 12:00:00,332.2,307.848,13.31,12.9,0.0,0.0
2026-03-21 04:15:00,335.4,304.8,13.19,18.7,0.0,0.0
2026-03-20 11:00:00,327.5,304.8,13.26,16.8,0.0,0.0
2026-03-20 21:30:00,327.3,307.848,13.13,31.0,0.0,836.0
2026-03-21 06:30:00,334.5,304.8,13.28,16.7,0.0,0.0
2026-03-20 10:00:00,328.9,307.848,13.29,17.4,0.0,0.0
2026-03-20 18:00:00,320.1,307.848,13.16,26.7,0.0,596.0
2026-03-20 23:15:00,331.8,304.8,13.11,31.3,0.0,679.0
2026-03-20 07:00:00,333.0,304.8,13.25,19.9,0.0,0.0
2026-03-21 12:30:00,332.4,304.8,13.34,12.9,0.0,0.0
2026-03-20 15:30:00,321.5,307.848,13.32,16.1,0.0,33.0
2026-03-20 20:00:00,323.7,307.848,13.13,30.3,0.0,818.0
2026-03-21 13:45:00,332.0,304.8,13.34,13.0,0.0,0.0
2026-03-21 10:30:00,333.1,304.8,13.33,13.7,0.0,0.0
2026-03-20 11:30:00,327.2,307.848,13.3,16.8,0.0,0.0
2026-03-21 02:00:00,336.0,304.8,13.1,26.0,0.0,118.0
2026-03-21 11:00:00,332.4,307.848,13.32,13.2,0.0,0.0
2026-03-20 18:30:00,320.6,307.848,13.19,26.7,0.0,596.0
2026-03-21 00:00:00,333.5,307.848,13.11,30.6,0.0,517.0
2026-03-20 12:45:00,325.2,307.848,13.31,16.0,0.0,0.0
2026-03-20 09:00:00,330.3,304.8,13.27,18.1,0.0,0.0
2026-03-21 04:30:00,335.4,307.848,13.16,18.7,0.0,0.0
2026-03-20 11:45:00,326.7,307.848,13.25,16.8,0.0,0.0
2026-03-20 19:15:00,322.2,304.8,13.2,28.9,0.0,736.0
2026-03-21 03:30:00,336.2,307.848,13.19,21.9,0.0,4.0
2026-03-21 05:15:00,335.1,304.8,13.23,17.3,0.0,0.0
2026-03-21 06:00:00,334.9,307.848,13.24,16.7,0.0,0.0
2026-03-20 18:15:00,320.3,307.848,13.24,26.7,0.0,596.0
2026-03-21 12:15:00,332.4,304.8,13.29,12.9,0.0,0.0
2026-03-20 20:15:00,324.2,304.8,13.12,30.3,0.0,818.0
2026-03-20 17:00:00,320.0,307.848,13.23,23.9,0.0,412.0
2026-03-20 17:45:00,320.1,304.8,13.26,23.9,0.0,412.0
2026-03-20 07:45:00,332.0,307.848,13.25,19.9,0.0,0.0
2026-03-21 07:45:00,334.0,304.8,13.29,16.6,0.0,0.0
2026-03-21 09:15:00,333.1,304.8,13.32,14.1,0.0,0.0
2026-03-21 07:00:00,334.4,307.848,13.28,16.6,0.0,0.0
2026-03-20 08:45:00,330.6,304.8,13.22,18.9,0.0,0.0
2026-03-20 13:45:00,324.1,307.848,13.29,15.0,0.0,0.0
2026-03-21 01:00:00,335.4,304.8,13.07,30.0,0.0,320.0
2026-03-20 14:00:00,323.3,307.848,13.28,14.7,0.0,0.0
2026-03-21 03:45:00,335.5,304.8,13.13,21.9,0.0,4.0
2026-03-20 08:00:00,331.7,307.848,13.21,18.9,0.0,0.0
2026-03-20 21:15:00,326.8,307.848,13.08,31.0,0.0,836.0
2026-03-20 08:15:00,331.3,307.848,13.22,18.9,0.0,0.0
2026-03-21 13:00:00,332.2,304.8,13.29,13.0,0.0,0.0
2026-03-21 10:00:00,333.2,307.848,13.3,13.7,0.0,0.0
2026-03-21 14:45:00,331.8,307.848,13.36,12.4,0.0,0.0
2026-03-20 09:15:00,329.8,307.848,13.27,18.1,0.0,0.0
2026-03-21 10:45:00,333.0,304.8,13.26,13.7,0.0,0.0
2026-03-20 08:30:00,330.9,304.8,13.21,18.9,0.0,0.0
2026-03-21 05:00:00,335.2,304.8,13.23,17.3,0.0,0.0
2026-03-21 07:15:00,334.1,304.8,13.27,16.6,0.0,0.0
2026-03-21 08:30:00,334.0,307.848,13.3,15.6,0.0,0.0
2026-03-20 14:30:00,323.0,307.848,13.27,14.7,0.0,0.0
2026-03-20 13:15:00,324.2,304.8,13.32,15.0,0.0,0.0
2026-03-20 19:45:00,323.1,307.848,13.19,28.9,0.0,736.0
2026-03-20 10:30:00,328.3,304.8,13.28,17.4,0.0,0.0
2026-03-21 14:15:00,331.8,304.8,13.34,12.4,0.0,0.0
2026-03-20 10:15:00,328.6,307.848,13.24,17.4,0.0,0.0
2026-03-21 14:30:00,331.7,307.848,13.36,12.4,0.0,0.0
2026-03-21 14:00:00,331.7,307.848,13.35,12.4,0.0,0.0
2026-03-20 13:00:00,324.7,304.8,13.26,15.0,0.0,0.0
2026-03-21 15:00:00,331.3,307.848,13.36,12.8,0.0,32.0
2026-03-20 23:45:00,333.0,304.8,13.12,31.3,0.0,679.0
2026-03-21 11:15:00,332.8,304.8,13.29,13.2,0.0,0.0
2026-03-20 22:30:00,329.9,304.8,13.07,31.3,0.0,789.0
2026-03-21 02:30:00,336.1,304.8,13.16,26.0,0.0,118.0
2026-03-20 17:30:00,320.0,307.848,13.22,23.9,0.0,412.0
2026-03-20 12:15:00,326.1,304.8,13.3,16.0,0.0,0.0
2026-03-21 03:15:00,336.1,304.8,13.11,21.9,0.0,4.0
2026-03-20 13:30:00,324.3,307.848,13.32,15.0,0.0,0.0
2026-03-21 10:15:00,333.2,304.8,13.31,13.7,0.0,0.0
2026-03-21 08:15:00,333.8,304.8,13.3,15.6,0.0,0.0
2026-03-20 09:30:00,329.5,307.848,13.25,18.1,0.0,0.0
2026-03-20 15:15:00,321.8,307.848,13.28,16.1,0.0,33.0
2026-03-21 02:45:00,336.1,304.8,13.11,26.0,0.0,118.0
2026-03-20 17:15:00,320.0,307.848,13.28,23.9,0.0,412.0
2026-03-20 14:15:00,322.7,307.848,13.34,14.7,0.0,0.0
2026-03-21 04:00:00,335.8,304.8,13.14,18.7,0.0,0.0
2026-03-20 16:00:00,320.5,304.8,13.31,19.7,0.0,208.0
2026-03-20 12:30:00,325.2,307.848,13.32,16.0,0.0,0.0
2026-03-21 02:15:00,336.0,304.8,13.1,26.0,0.0,118.0
2026-03-21 07:30:00,334.0,307.848,13.28,16.6,0.0,0.0
2026-03-20 14:45:00,322.5,307.848,13.32,14.7,0.0,0.0
2026-03-20 23:00:00,331.1,304.8,13.12,31.3,0.0,679.0
2026-03-20 15:45:00,321.3,307.848,13.33,16.1,0.0,33.0
2026-03-20 22:15:00,329.2,304.8,13.07,31.3,0.0,789.0
2026-03-21 08:45:00,333.7,307.848,13.25,15.6,0.0,0.0
2026-03-20 21:45:00,327.9,307.848,13.09,31.0,0.0,836.0
2026-03-20 07:15:00,332.5,307.848,13.19,19.9,0.0,0.0
2026-03-20 18:45:00,320.8,307.848,13.21,26.7,0.0,596.0
2026-03-20 20:45:00,325.5,307.848,13.1,30.3,0.0,818.0
2026-03-21 09:45:00,333.3,307.848,13.32,14.1,0.0,0.0
2026-03-20 11:15:00,327.1,307.848,13.25,16.8,0.0,0.0
2026-03-21 00:30:00,334.5,307.848,13.08,30.6,0.0,517.0
2026-03-21 12:45:00,332.2,304.8,13.29,12.9,0.0,0.0
2026-03-21 06:45:00,334.6,307.848,13.22,16.7,0.0,0.0
2026-03-21 04:45:00,335.2,304.8,13.21,18.7,0.0,0.0
2026-03-20 22:45:00,330.5,304.8,13.05,31.3,0.0,789.0
2026-03-21 01:30:00,335.7,304.8,13.08,30.0,0.0,320.0
2026-03-20 19:30:00,322.6,307.848,13.15,28.9,0.0,736.0
2026-03-20 16:45:00,320.0,307.848,13.25,19.7,0.0,208.0
2026-03-21 09:00:00,333.4,304.8,13.31,14.1,0.0,0.0
2026-03-21 01:45:00,335.8,304.8,13.09,30.0,0.0,320.0
2026-03-21 11:45:00,332.6,307.848,13.27,13.2,0.0,0.0
2026-03-20 12:00:00,326.1,307.848,13.31,16.0,0.0,0.0
2026-03-20 20:30:00,324.8,307.848,13.16,30.3,0.0,818.0
2026-03-21 05:45:00,335.0,304.8,13.2,17.3,0.0,0.0
2026-03-20 07:30:00,332.3,307.848,13.17,19.9,0.0,0.0
2026-03-20 16:30:00,320.2,304.8,13.25,19.7,0.0,208.0
2026-03-21 08:00:00,334.0,307.848,13.28,15.6,0.0,0.0
