DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-03-20 07:00:00,618.5,202.2,16.8,19.9,0.0,0.0
2026-03-20 07:15:00,619.3,201.7,16.8,19.9,0.0,0.0
2026-03-20 07:30:00,618.5,201.7,16.8,19.9,0.0,0.0
2026-03-20 07:45:00,618.3,201.3,16.78,19.9,0.0,0.0
2026-03-20 08:00:00,619.0,202.2,16.7,18.9,0.0,0.0
2026-03-20 08:15:00,619.0,201.8,16.7,18.9,0.0,0.0
2026-03-20 08:30:00,618.3,201.3,16.7,18.9,0.0,0.0
2026-03-20 08:45:00,618.3,202.8,16.7,18.9,0.0,0.0
2026-03-20 09:00:00,618.5,202.3,16.7,18.1,0.0,0.0
2026-03-20 09:15:00,620.5,201.7,16.68,18.1,0.0,0.0
2026-03-20 09:30:00,616.5,201.3,16.6,18.1,0.0,0.0
2026-03-20 09:45:00,617.7,201.2,16.6,18.1,0.0,0.0
2026-03-20 10:00:00,617.5,202.2,16.6,17.4,0.0,0.0
2026-03-20 10:15:00,617.5,200.8,16.6,17.4,0.0,0.0
2026-03-20 10:30:00,618.0,201.3,16.6,17.4,0.0,0.0
2026-03-20 10:45:00,617.3,201.0,16.6,17.4,0.0,0.0
2026-03-20 11:00:00,617.5,201.5,16.52,16.8,0.0,0.0
2026-03-20 11:15:00,618.0,201.5,16.5,16.8,0.0,0.0
2026-03-20 11:30:00,618.0,200.8,16.5,16.8,0.0,0.0
2026-03-20 11:45:00,615.2,202.8,16.5,16.8,0.0,0.0
2026-03-20 12:00:00,615.7,204.8,16.5,16.0,0.0,0.0
2026-03-20 12:15:00,614.8,205.8,16.5,16.0,0.0,0.0
2026-03-20 12:30:00,615.3,204.5,16.5,16.0,0.0,0.0
2026-03-20 12:45:00,616.2,202.0,16.5,16.0,0.0,0.0
2026-03-20 13:00:00,615.5,202.3,16.5,15.0,0.0,0.0
2026-03-20 13:15:00,614.5,204.2,16.5,15.0,0.0,0.0
2026-03-20 13:30:00,614.8,202.3,16.5,15.0,0.0,0.0
2026-03-20 13:45:00,615.0,203.7,16.5,15.0,0.0,0.0
2026-03-20 14:00:00,613.0,203.7,16.5,14.7,0.0,0.0
2026-03-20 14:15:00,610.5,204.0,16.5,14.7,0.0,0.0
2026-03-20 14:30:00,607.3,204.3,16.52,14.7,0.0,0.0
2026-03-20 14:45:00,605.3,204.0,16.6,14.7,0.0,0.0
2026-03-20 15:00:00,605.3,204.7,16.6,16.1,0.0,33.0
2026-03-20 15:15:00,605.2,204.0,16.6,16.1,0.0,33.0
2026-03-20 15:30:00,604.7,203.2,16.62,16.1,0.0,33.0
2026-03-20 15:45:00,606.2,202.8,16.7,16.1,0.0,33.0
2026-03-20 16:00:00,607.2,201.8,16.68,19.7,0.0,208.0
2026-03-20 16:15:00,607.3,203.0,16.7,19.7,0.0,208.0
2026-03-20 16:30:00,604.7,203.2,16.7,19.7,0.0,208.0
2026-03-20 16:45:00,606.5,202.8,16.7,19.7,0.0,208.0
2026-03-20 17:00:00,607.5,202.7,16.7,23.9,0.0,412.0
2026-03-20 17:15:00,608.5,202.0,16.7,23.9,0.0,412.0
2026-03-20 17:30:00,608.7,202.0,16.7,23.9,0.0,412.0
2026-03-20 17:45:00,609.7,202.3,16.7,23.9,0.0,412.0
2026-03-20 18:00:00,610.5,203.3,16.8,26.7,0.0,596.0
2026-03-20 18:15:00,610.2,202.0,16.8,26.7,0.0,596.0
2026-03-20 18:30:00,613.7,257.5,16.9,26.7,0.0,596.0
2026-03-20 18:45:00,529.5,273.0,17.0,26.7,0.0,596.0
2026-03-20 19:00:00,495.8,244.0,17.0,28.9,0.0,736.0
2026-03-20 19:15:00,477.3,229.7,17.0,28.9,0.0,736.0
2026-03-20 19:30:00,470.7,222.0,17.0,28.9,0.0,736.0
2026-03-20 19:45:00,430.8,214.5,17.0,28.9,0.0,736.0
2026-03-20 20:00:00,424.5,207.3,17.0,30.3,0.0,818.0
2026-03-20 20:15:00,409.0,204.5,17.1,30.3,0.0,818.0
2026-03-20 20:30:00,384.8,206.2,17.2,30.3,0.0,818.0
2026-03-20 20:45:00,382.5,202.3,17.2,30.3,0.0,818.0
2026-03-20 21:00:00,385.3,201.7,17.3,31.0,0.0,836.0
2026-03-20 21:15:00,401.2,202.2,17.4,31.0,0.0,836.0
2026-03-20 21:30:00,425.7,203.0,17.47,31.0,0.0,836.0
2026-03-20 21:45:00,438.3,201.8,17.5,31.0,0.0,836.0
2026-03-20 22:00:00,457.5,202.8,17.6,31.3,0.0,789.0
2026-03-20 22:15:00,484.5,202.2,17.7,31.3,0.0,789.0
2026-03-20 22:30:00,500.3,201.7,17.8,31.3,0.0,789.0
2026-03-20 22:45:00,520.2,202.5,17.9,31.3,0.0,789.0
2026-03-20 23:00:00,538.7,202.2,17.9,31.3,0.0,679.0
2026-03-20 23:15:00,551.7,203.0,17.92,31.3,0.0,679.0
2026-03-20 23:30:00,557.8,202.8,17.97,31.3,0.0,679.0
2026-03-20 23:45:00,563.5,202.7,17.98,31.3,0.0,679.0
2026-03-21 00:00:00,571.8,202.8,18.0,30.6,0.0,517.0
2026-03-21 00:15:00,576.7,202.8,18.0,30.6,0.0,517.0
2026-03-21 00:30:00,584.2,203.3,17.97,30.6,0.0,517.0
2026-03-21 00:45:00,588.5,203.2,17.92,30.6,0.0,517.0
2026-03-21 01:00:00,591.3,204.0,17.9,30.0,0.0,320.0
2026-03-21 01:15:00,595.8,203.5,17.9,30.0,0.0,320.0
2026-03-21 01:30:00,597.5,202.0,17.9,30.0,0.0,320.0
2026-03-21 01:45:00,601.7,201.8,17.8,30.0,0.0,320.0
2026-03-21 02:00:00,600.3,201.2,17.8,26.0,0.0,118.0
2026-03-21 02:15:00,604.3,203.3,17.7,26.0,0.0,118.0
2026-03-21 02:30:00,604.7,202.3,17.7,26.0,0.0,118.0
2026-03-21 02:45:00,606.7,202.2,17.62,26.0,0.0,118.0
2026-03-21 03:00:00,600.5,202.5,17.6,21.9,0.0,4.0
2026-03-21 03:15:00,610.0,202.0,17.5,21.9,0.0,4.0
2026-03-21 03:30:00,610.3,202.3,17.5,21.9,0.0,4.0
2026-03-21 03:45:00,611.3,201.8,17.42,21.9,0.0,4.0
2026-03-21 04:00:00,610.5,202.5,17.4,18.7,0.0,0.0
2026-03-21 04:15:00,612.3,201.5,17.4,18.7,0.0,0.0
2026-03-21 04:30:00,613.0,200.5,17.32,18.7,0.0,0.0
2026-03-21 04:45:00,610.7,200.2,17.3,18.7,0.0,0.0
2026-03-21 05:00:00,622.7,201.2,17.3,17.3,0.0,0.0
2026-03-21 05:15:00,615.0,202.2,17.22,17.3,0.0,0.0
2026-03-21 05:30:00,618.2,201.3,17.2,17.3,0.0,0.0
2026-03-21 05:45:00,617.0,201.8,17.2,17.3,0.0,0.0
2026-03-21 06:00:00,618.3,200.8,17.2,16.7,0.0,0.0
2026-03-21 06:15:00,617.8,201.2,17.1,16.7,0.0,0.0
2026-03-21 06:30:00,618.7,200.2,17.1,16.7,0.0,0.0
2026-03-21 06:45:00,617.7,200.7,17.03,16.7,0.0,0.0
2026-03-21 07:00:00,620.5,200.3,17.0,16.6,0.0,0.0
2026-03-21 07:15:00,623.3,201.0,17.0,16.6,0.0,0.0
2026-03-21 07:30:00,618.3,199.7,16.9,16.6,0.0,0.0
2026-03-21 07:45:00,619.3,200.3,16.9,16.6,0.0,0.0
2026-03-21 08:00:00,621.3,199.5,16.9,15.6,0.0,0.0
2026-03-21 08:15:00,618.8,198.0,16.8,15.6,0.0,0.0
2026-03-21 08:30:00,620.2,200.3,16.8,15.6,0.0,0.0
2026-03-21 08:45:00,619.5,199.3,16.7,15.6,0.0,0.0
2026-03-21 09:00:00,618.8,199.3,16.7,14.1,0.0,0.0
2026-03-21 09:15:00,618.3,198.3,16.7,14.1,0.0,0.0
2026-03-21 09:30:00,621.7,199.2,16.62,14.1,0.0,0.0
2026-03-21 09:45:00,621.8,198.3,16.6,14.1,0.0,0.0
2026-03-21 10:00:00,619.8,199.2,16.6,13.7,0.0,0.0
2026-03-21 10:15:00,620.5,198.3,16.5,13.7,0.0,0.0
2026-03-21 10:30:00,621.3,198.2,16.5,13.7,0.0,0.0
2026-03-21 10:45:00,620.8,198.0,16.42,13.7,0.0,0.0
2026-03-21 11:00:00,624.3,197.3,16.4,13.2,0.0,0.0
2026-03-21 11:15:00,622.8,197.7,16.42,13.2,0.0,0.0
2026-03-21 11:30:00,622.2,198.8,16.4,13.2,0.0,0.0
2026-03-21 11:45:00,622.3,199.3,16.3,13.2,0.0,0.0
2026-03-21 12:00:00,623.5,198.8,16.3,12.9,0.0,0.0
2026-03-21 12:15:00,621.2,199.0,16.3,12.9,0.0,0.0
2026-03-21 12:30:00,622.8,198.0,16.2,12.9,0.0,0.0
2026-03-21 12:45:00,620.3,199.8,16.2,12.9,0.0,0.0
2026-03-21 13:00:00,621.5,199.7,16.2,13.0,0.0,0.0
2026-03-21 13:15:00,622.0,198.0,16.1,13.0,0.0,0.0
2026-03-21 13:30:00,622.0,197.8,16.1,13.0,0.0,0.0
2026-03-21 13:45:00,622.3,197.0,16.1,13.0,0.0,0.0
2026-03-21 14:00:00,622.5,198.2,16.1,12.4,0.0,0.0
2026-03-21 14:15:00,621.2,198.8,16.0,12.4,0.0,0.0
2026-03-21 14:30:00,622.3,197.5,16.0,12.4,0.0,0.0
2026-03-21 14:45:00,623.0,198.0,16.0,12.4,0.0,0.0
2026-03-21 15:00:00,621.7,197.7,16.0,12.8,0.0,32.0
