DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-04-01 23:18:00,361.3,51.3,14.8,14.7,0.025,464.0
2026-04-01 23:30:00,367.3,50.3,14.8,14.7,0.025,464.0
2026-04-01 23:31:00,367.7,51.3,14.8,14.7,0.025,464.0
2026-04-01 23:32:00,368.3,52.3,14.8,14.7,0.025,464.0
2026-04-01 23:33:00,369.0,51.8,14.8,14.7,0.025,464.0
2026-04-01 23:45:00,374.7,51.8,14.7,14.7,0.025,464.0
2026-04-02 00:00:00,383.2,52.8,14.7,14.3,0.0,414.0
2026-04-02 00:15:00,389.8,51.8,14.7,14.3,0.0,414.0
2026-04-02 00:30:00,399.3,51.0,14.7,14.3,0.0,414.0
2026-04-02 00:45:00,409.0,50.5,14.6,14.3,0.0,414.0
2026-04-02 01:00:00,418.7,51.5,14.6,13.1,0.0,103.0
2026-04-02 01:15:00,427.2,50.8,14.6,13.1,0.0,103.0
2026-04-02 01:30:00,434.8,50.8,14.6,13.1,0.0,103.0
2026-04-02 01:45:00,444.7,50.8,14.5,13.1,0.0,103.0
2026-04-02 02:00:00,454.7,49.2,14.5,12.8,0.0,54.0
2026-04-02 02:15:00,463.7,50.2,14.5,12.8,0.0,54.0
2026-04-02 02:30:00,472.2,49.5,14.5,12.8,0.0,54.0
2026-04-02 02:45:00,480.8,50.2,14.5,12.8,0.0,54.0
2026-04-02 03:00:00,489.7,50.0,14.5,12.5,0.0,5.0
2026-04-02 03:15:00,498.2,48.7,14.4,12.5,0.0,5.0
2026-04-02 03:30:00,507.0,48.3,14.4,12.5,0.0,5.0
2026-04-02 03:45:00,515.5,49.3,14.4,12.5,0.0,5.0
2026-04-02 04:00:00,523.7,51.0,14.4,12.4,0.05,0.0
2026-04-02 04:15:00,532.0,49.7,14.4,12.4,0.05,0.0
2026-04-02 04:30:00,540.0,50.0,14.4,12.4,0.05,0.0
2026-04-02 04:45:00,547.2,52.2,14.3,12.4,0.05,0.0
2026-04-02 05:00:00,552.7,56.2,14.3,11.9,0.625,0.0
2026-04-02 05:15:00,556.8,62.5,14.3,11.9,0.625,0.0
2026-04-02 05:30:00,554.2,80.8,14.3,11.9,0.625,0.0
2026-04-02 05:45:00,436.3,44.3,14.4,11.9,0.625,0.0
2026-04-02 06:00:00,166.2,45.2,14.6,11.9,0.05,0.0
2026-04-02 06:15:00,135.0,46.2,14.5,11.9,0.05,0.0
2026-04-02 06:30:00,137.3,40.5,14.5,11.9,0.05,0.0
2026-04-02 06:45:00,133.2,47.2,14.5,11.9,0.05,0.0
2026-04-02 07:00:00,132.8,48.7,14.4,11.7,0.275,0.0
2026-04-02 07:15:00,144.7,45.2,14.4,11.7,0.275,0.0
2026-04-02 07:30:00,156.5,48.5,14.4,11.7,0.275,0.0
2026-04-02 07:45:00,181.2,47.7,14.4,11.7,0.275,0.0
2026-04-02 08:00:00,191.8,52.8,14.4,11.4,0.5,0.0
2026-04-02 08:15:00,194.2,52.5,14.4,11.4,0.5,0.0
2026-04-02 08:30:00,202.5,49.3,14.3,11.4,0.5,0.0
2026-04-02 08:45:00,210.5,51.5,14.3,11.4,0.5,0.0
2026-04-02 09:00:00,219.2,50.7,14.3,11.1,0.1,0.0
2026-04-02 09:15:00,234.2,48.2,14.28,11.1,0.1,0.0
2026-04-02 09:30:00,249.7,46.0,14.2,11.1,0.1,0.0
2026-04-02 09:45:00,263.0,47.3,14.2,11.1,0.1,0.0
2026-04-02 10:00:00,274.5,45.2,14.1,10.5,0.0,0.0
2026-04-02 10:15:00,283.5,43.2,14.1,10.5,0.0,0.0
2026-04-02 10:30:00,291.2,42.0,14.0,10.5,0.0,0.0
2026-04-02 10:45:00,299.2,40.7,14.0,10.5,0.0,0.0
2026-04-02 11:00:00,306.5,38.5,13.9,9.7,0.0,0.0
2026-04-02 11:15:00,313.3,38.7,13.8,9.7,0.0,0.0
2026-04-02 11:30:00,322.2,36.5,13.7,9.7,0.0,0.0
2026-04-02 11:45:00,332.0,36.0,13.67,9.7,0.0,0.0
2026-04-02 12:00:00,341.2,34.5,13.5,8.8,0.0,0.0
2026-04-02 12:15:00,351.3,34.5,13.5,8.8,0.0,0.0
2026-04-02 12:30:00,360.2,33.5,13.4,8.8,0.0,0.0
2026-04-02 12:45:00,370.5,34.5,13.3,8.8,0.0,0.0
2026-04-02 13:00:00,382.3,32.7,13.3,8.1,0.0,0.0
2026-04-02 13:15:00,393.0,33.2,13.2,8.1,0.0,0.0
2026-04-02 13:30:00,404.0,33.3,13.1,8.1,0.0,0.0
2026-04-02 13:45:00,413.5,33.8,13.0,8.1,0.0,0.0
2026-04-02 14:00:00,424.8,33.7,13.0,7.4,0.0,0.0
2026-04-02 14:15:00,435.2,33.2,12.9,7.4,0.0,0.0
2026-04-02 14:30:00,446.0,32.3,12.83,7.4,0.0,0.0
2026-04-02 14:45:00,455.5,32.3,12.8,7.4,0.0,0.0
2026-04-02 15:00:00,465.2,33.0,12.8,9.0,0.0,75.0
2026-04-02 15:15:00,475.0,31.5,12.8,9.0,0.0,75.0
2026-04-02 15:30:00,484.2,31.5,12.8,9.0,0.0,75.0
2026-04-02 15:45:00,493.5,31.3,12.7,9.0,0.0,75.0
2026-04-02 16:00:00,501.7,32.0,12.7,10.6,0.0,271.0
2026-04-02 16:15:00,509.8,31.5,12.8,10.6,0.0,271.0
2026-04-02 16:30:00,518.5,32.0,12.8,10.6,0.0,271.0
2026-04-02 16:45:00,525.7,31.5,12.8,10.6,0.0,271.0
2026-04-02 17:00:00,533.2,32.5,12.8,12.3,0.0,482.0
2026-04-02 17:15:00,540.0,31.8,12.8,12.3,0.0,482.0
2026-04-02 17:30:00,547.5,32.3,12.8,12.3,0.0,482.0
2026-04-02 17:45:00,555.2,32.2,12.9,12.3,0.0,482.0
2026-04-02 18:00:00,561.7,30.0,12.9,13.5,0.0,666.0
2026-04-02 18:15:00,567.0,31.7,12.9,13.5,0.0,666.0
2026-04-02 18:30:00,572.2,31.0,12.9,13.5,0.0,666.0
2026-04-02 19:00:00,583.7,30.7,12.9,14.4,0.0,806.0
2026-04-02 19:15:00,588.8,31.3,12.9,14.4,0.0,806.0
2026-04-02 19:30:00,593.3,32.8,13.1,14.4,0.0,806.0
2026-04-02 19:45:00,596.5,32.0,13.1,14.4,0.0,806.0
2026-04-02 20:00:00,601.0,31.8,13.1,15.3,0.0,874.0
2026-04-02 20:15:00,604.3,33.7,13.2,15.3,0.0,874.0
2026-04-02 20:30:00,608.7,33.5,13.3,15.3,0.0,874.0
2026-04-02 20:45:00,611.8,33.7,13.3,15.3,0.0,874.0
2026-04-02 21:00:00,615.2,34.2,13.4,16.1,0.0,895.0
2026-04-02 21:15:00,617.8,33.3,13.4,16.1,0.0,895.0
2026-04-02 21:30:00,621.8,33.5,13.63,16.1,0.0,895.0
2026-04-02 21:45:00,624.5,32.7,13.7,16.1,0.0,895.0
2026-04-02 22:00:00,626.3,34.2,13.7,16.4,0.0,844.0
2026-04-02 22:15:00,629.0,33.8,13.6,16.4,0.0,844.0
2026-04-02 22:30:00,631.8,33.2,13.6,16.4,0.0,844.0
2026-04-02 22:45:00,635.5,33.3,13.6,16.4,0.0,844.0
2026-04-02 23:00:00,637.8,33.3,13.6,16.7,0.0,725.0
2026-04-02 23:15:00,641.0,33.8,13.6,16.7,0.0,725.0
2026-04-02 23:30:00,643.5,33.8,13.6,16.7,0.0,725.0
2026-04-02 23:45:00,646.7,31.7,13.7,16.7,0.0,725.0
2026-04-03 00:00:00,649.5,33.0,13.7,17.0,0.0,563.0
2026-04-03 00:15:00,651.2,32.3,13.7,17.0,0.0,563.0
2026-04-03 00:30:00,653.7,33.2,13.8,17.0,0.0,563.0
2026-04-03 00:45:00,655.3,32.0,13.7,17.0,0.0,563.0
2026-04-03 01:00:00,658.5,32.2,13.8,17.0,0.0,365.0
2026-04-03 01:15:00,660.0,32.7,13.8,17.0,0.0,365.0
2026-04-03 01:30:00,661.7,33.7,13.8,17.0,0.0,365.0
2026-04-03 01:45:00,663.8,31.5,13.8,17.0,0.0,365.0
2026-04-03 02:00:00,666.3,32.0,13.8,14.8,0.0,155.0
2026-04-03 02:15:00,668.2,32.0,13.8,14.8,0.0,155.0
2026-04-03 02:30:00,669.7,32.2,13.8,14.8,0.0,155.0
2026-04-03 02:45:00,671.3,33.0,13.7,14.8,0.0,155.0
