DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,air_temp_c,rain_mm,shortwave_radiation
2026-04-01 21:07:00,603.0,101.8,16.2,14.1,0.2,312.0
2026-04-01 21:08:00,601.5,101.7,16.2,14.1,0.2,312.0
2026-04-01 21:09:00,604.7,102.0,16.2,14.1,0.2,312.0
2026-04-01 21:10:00,605.0,103.8,16.2,14.1,0.2,312.0
2026-04-01 21:11:00,609.0,104.0,16.2,14.1,0.2,312.0
2026-04-01 21:15:00,619.5,103.7,16.1,14.1,0.2,312.0
2026-04-01 21:30:00,638.7,100.0,15.9,14.1,0.2,312.0
2026-04-01 21:45:00,641.3,98.5,15.9,14.1,0.2,312.0
2026-04-01 22:00:00,640.7,91.7,15.9,13.8,0.175,239.0
2026-04-01 22:15:00,634.7,86.3,15.98,13.8,0.175,239.0
2026-04-01 22:30:00,636.2,82.8,16.0,13.8,0.175,239.0
2026-04-01 22:45:00,635.7,77.7,16.0,13.8,0.175,239.0
2026-04-01 23:00:00,625.3,74.8,16.0,14.7,0.025,464.0
2026-04-01 23:15:00,613.5,74.8,16.0,14.7,0.025,464.0
2026-04-01 23:30:00,610.2,73.2,16.0,14.7,0.025,464.0
2026-04-01 23:45:00,603.0,70.7,16.0,14.7,0.025,464.0
2026-04-02 00:00:00,600.5,70.0,15.95,14.3,0.0,414.0
2026-04-02 00:15:00,600.8,68.8,15.9,14.3,0.0,414.0
2026-04-02 00:30:00,595.5,66.5,15.9,14.3,0.0,414.0
2026-04-02 00:45:00,593.3,65.8,15.9,14.3,0.0,414.0
2026-04-02 01:00:00,593.3,65.3,15.9,13.1,0.0,103.0
2026-04-02 01:15:00,587.7,65.5,15.8,13.1,0.0,103.0
2026-04-02 01:30:00,591.7,64.3,15.8,13.1,0.0,103.0
2026-04-02 01:45:00,585.8,64.0,15.8,13.1,0.0,103.0
2026-04-02 02:00:00,584.8,64.8,15.8,12.8,0.0,54.0
2026-04-02 02:15:00,582.7,63.2,15.8,12.8,0.0,54.0
2026-04-02 02:30:00,579.0,64.7,15.8,12.8,0.0,54.0
2026-04-02 02:45:00,578.2,64.2,15.7,12.8,0.0,54.0
2026-04-02 03:00:00,578.7,63.8,15.7,12.5,0.0,5.0
2026-04-02 03:15:00,575.5,64.2,15.7,12.5,0.0,5.0
2026-04-02 03:30:00,575.3,63.7,15.7,12.5,0.0,5.0
2026-04-02 03:45:00,575.7,61.8,15.68,12.5,0.0,5.0
2026-04-02 04:00:00,579.8,62.5,15.6,12.4,0.05,0.0
2026-04-02 04:15:00,575.0,62.3,15.6,12.4,0.05,0.0
2026-04-02 04:30:00,581.5,62.0,15.6,12.4,0.05,0.0
2026-04-02 04:45:00,581.0,61.7,15.6,12.4,0.05,0.0
2026-04-02 05:00:00,585.8,61.3,15.6,11.9,0.625,0.0
2026-04-02 05:15:00,582.0,63.8,15.7,11.9,0.625,0.0
